Quality;Description
(0.15412067207518731, 'UGwb', 0.634703196347032, 'UGb', 0.48058252427184467);['deck_DisdainfulStroke', 'deck_IcehideTroll', 'deck_SnowCoveredForest']
(0.14542483660130723, 'UGbr', 0.6176470588235294, 'UGr', 0.4722222222222222);['deck_MoritteoftheFrost', 'deck_DeparttheRealm']
(0.1449456975772765, 'UGbr', 0.6825396825396826, 'UGb', 0.5375939849624061);['deck_AuguryRaven', 'deck_MaskedVandal', 'deck_BeholdtheMultiverse']
(0.14380565234223763, 'UGwb', 0.6706349206349206, 'UGb', 0.526829268292683);['deck_IcebindPillar', 'deck_ShimmerdriftVale', 'deck_SnowCoveredIsland']
(0.1417239066583409, 'UGbr', 0.7230046948356808, 'UGr', 0.5812807881773399);['deck_TheBearsofLittjara', 'deck_RavenousLindwurm']
(0.1415176151761518, 'UGwr', 0.6577777777777778, 'UGr', 0.516260162601626);['deck_MoritteoftheFrost', 'deck_RavenousLindwurm', 'deck_SnowCoveredIsland']
(0.14093393616303396, 'UGbr', 0.6477832512315271, 'UGb', 0.5068493150684932);['deck_AuguryRaven', 'deck_MaskedVandal', 'deck_SarulfsPackmate']
(0.14038461538461544, 'UGbr', 0.65, 'UGb', 0.5096153846153846);['deck_Mistwalker', 'deck_Ravenform']
(0.1402535114765331, 'UGbr', 0.6354916067146283, 'UGb', 0.49523809523809526);['deck_IcebindPillar', 'deck_ShimmerdriftVale', 'deck_SnowCoveredForest']
(0.13973684210526316, 'UGbr', 0.62, 'UGb', 0.48026315789473684);['deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp', 'deck_SnowCoveredForest']
(0.13954907919686227, 'UGwb', 0.6070287539936102, 'UGb', 0.46747967479674796);['deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp', 'deck_BergStrider']
(0.1385249392489415, 'UGbr', 0.6452513966480447, 'UGb', 0.5067264573991032);['deck_ShimmerdriftVale', 'deck_LittjaraMirrorlake', 'deck_SnowCoveredForest']
(0.13794713738675635, 'UGbr', 0.6767068273092369, 'UGb', 0.5387596899224806);['deck_ShimmerdriftVale', 'deck_MaskedVandal', 'deck_SnowCoveredIsland']
(0.13439865433137088, 'UGbr', 0.6758620689655173, 'UGr', 0.5414634146341464);['deck_MoritteoftheFrost', 'deck_SarulfsPackmate', 'deck_StruggleforSkemfar']
(0.1342809307411077, 'UGwr', 0.6902654867256637, 'UGr', 0.555984555984556);['deck_TheBearsofLittjara', 'deck_Mistwalker']
(0.13350327570070442, 'UGbr', 0.6658415841584159, 'UGb', 0.5323383084577115);['deck_ShimmerdriftVale', 'deck_MaskedVandal', 'deck_BeholdtheMultiverse']
(0.1327648578811369, 'WGbr', 0.74, 'WGb', 0.6072351421188631);['deck_JasperaSentinel', 'deck_SarulfsPackmate']
(0.13183246073298427, 'UGwr', 0.6518324607329843, 'UGr', 0.52);['deck_MoritteoftheFrost', 'deck_RavenousLindwurm']
(0.13102752651786298, 'UGwr', 0.6900826446280992, 'UGr', 0.5590551181102362);['deck_TheBearsofLittjara', 'deck_SnowCoveredIsland']
(0.13021754510081351, 'UGwb', 0.6477272727272727, 'UGb', 0.5175097276264592);['deck_AuguryRaven', 'deck_MaskedVandal', 'deck_SnowCoveredIsland']
(0.13004769475357703, 'UGwb', 0.6705882352941176, 'UGb', 0.5405405405405406);['deck_AuguryRaven', 'deck_MaskedVandal', 'deck_StruggleforSkemfar']
(0.12946718308384808, 'UGwr', 0.6487804878048781, 'UGr', 0.51931330472103);['deck_MoritteoftheFrost', 'deck_RavenousLindwurm', 'deck_BeholdtheMultiverse']
(0.1290737920531636, 'UGbr', 0.6483870967741936, 'UGr', 0.51931330472103);['deck_MoritteoftheFrost', 'deck_RavenousLindwurm', 'deck_SarulfsPackmate']
(0.12853506787330315, 'UBGw', 0.5972850678733032, 'UBw', 0.46875);['deck_IcebindPillar']
(0.12784815895005464, 'UGwr', 0.6586538461538461, 'UGr', 0.5308056872037915);['deck_DisdainfulStroke', 'deck_SculptorofWinter', 'deck_SnowCoveredIsland']
(0.12711124053581824, 'UGbr', 0.6617647058823529, 'UGr', 0.5346534653465347);['deck_MoritteoftheFrost', 'deck_SarulfsPackmate', 'deck_GuardianGladewalker']
(0.12522184503603118, 'UGbr', 0.6286701208981001, 'UGb', 0.503448275862069);['deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp', 'deck_SnowCoveredIsland']
(0.12510427528675705, 'UGwr', 0.6715328467153284, 'UGr', 0.5464285714285714);['deck_AuguryRaven', 'deck_JasperaSentinel']
(0.12443744374437438, 'UGbr', 0.6590909090909091, 'UGr', 0.5346534653465347);['deck_MoritteoftheFrost', 'deck_SnakeskinVeil']
(0.12400688559322037, 'UGbr', 0.63671875, 'UGb', 0.5127118644067796);['deck_ShimmerdriftVale', 'deck_MaskedVandal', 'deck_SnowCoveredForest']
(0.12395651329838864, 'UGwr', 0.6435643564356436, 'UGw', 0.5196078431372549);['deck_BrokenWings', 'deck_StruggleforSkemfar']
(0.12335176131950476, 'UGbr', 0.6070726915520629, 'UGb', 0.48372093023255813);['deck_ShimmerdriftVale', 'deck_DisdainfulStroke']
(0.12168064290705793, 'UGbr', 0.6540880503144654, 'UGb', 0.5324074074074074);['deck_ShimmerdriftVale', 'deck_MaskedVandal', 'deck_SarulfsPackmate']
(0.12087675051436914, 'UGbr', 0.6188524590163934, 'UGr', 0.4979757085020243);['deck_MoritteoftheFrost', 'deck_RavenousLindwurm', 'deck_Mistwalker']
(0.12043689036855332, 'UGbr', 0.6332574031890661, 'UGb', 0.5128205128205128);['deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp', 'deck_BeholdtheMultiverse']
(0.12006573257221931, 'UGbr', 0.6851063829787234, 'UGr', 0.5650406504065041);['deck_SnakeskinVeil', 'deck_GnottvoldRecluse']
(0.11870129870129864, 'UGwr', 0.6714285714285714, 'UGr', 0.5527272727272727);['deck_JasperaSentinel', 'deck_SarulfsPackmate', 'deck_Mistwalker']
(0.11802413273001511, 'UGwb', 0.5931372549019608, 'UGb', 0.4751131221719457);['deck_Ravenform', 'deck_SnowCoveredForest']
(0.11620815527065531, 'UGwr', 0.6552706552706553, 'UGr', 0.5390625);['deck_DisdainfulStroke', 'deck_SculptorofWinter']
(0.1159531090723751, 'UGbr', 0.6388888888888888, 'UGb', 0.5229357798165137);['deck_ShimmerdriftVale', 'deck_SnowCoveredSwamp', 'deck_SculptorofWinter']
