Quality;Description
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_AlpineMeadow', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_AegartheFreezingFlame', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_ArcticTreeline', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_AegartheFreezingFlame', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_ArcticTreeline', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_AlpineMeadow', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_ArniBrokenbrow', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_ArniBrokenbrow', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_ArniBrokenbrow', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_ArniBrokenbrow']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_Arachnoform']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_AlrundGodoftheCosmos']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_AlrundsEpiphany']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_ArcticTreeline', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_Arachnoform', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_Annul', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_AlrundGodoftheCosmos', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_AlrundGodoftheCosmos', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_AlrundGodoftheCosmos', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_AlrundsEpiphany', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_AlrundsEpiphany', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_AlrundsEpiphany', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_ArniBrokenbrow']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_AlrundGodoftheCosmos']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_AlrundsEpiphany']
(0, '-', 0, '-', 0);['deck_AlpineMeadow', 'deck_AegartheFreezingFlame']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_ArniBrokenbrow']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_Annul']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_AlrundGodoftheCosmos']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_AlrundsEpiphany']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame', 'deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_ArniBrokenbrow']
(0, '-', 0, '-', 0);['deck_ArcticTreeline']
(0, '-', 0, '-', 0);['deck_Arachnoform']
(0, '-', 0, '-', 0);['deck_Annul']
(0, '-', 0, '-', 0);['deck_AlrundGodoftheCosmos']
(0, '-', 0, '-', 0);['deck_AlrundsEpiphany']
(0, '-', 0, '-', 0);['deck_AlpineMeadow']
(0, '-', 0, '-', 0);['deck_AegartheFreezingFlame']
