Quality;Description
(0.15806320081549435, 'UGbr', 0.6488888888888888, 'UGb', 0.4908256880733945);['deck_SnakeskinVeil', 'deck_ShimmerdriftVale']
(0.15806320081549435, 'UGbr', 0.6488888888888888, 'UGb', 0.4908256880733945);['deck_ShimmerdriftVale', 'deck_SnakeskinVeil']
(0.1515533710470185, 'Gwub', 0.6539923954372624, 'Gub', 0.5024390243902439);['deck_AvalancheCaller', 'deck_GlitteringFrost', 'deck_SnowCoveredForest']
(0.1515533710470185, 'Gwub', 0.6539923954372624, 'Gub', 0.5024390243902439);['deck_GlitteringFrost', 'deck_AvalancheCaller', 'deck_SnowCoveredForest']
(0.1478171956966302, 'Gubr', 0.6840490797546013, 'Gub', 0.5362318840579711);['deck_NarfiBetrayerKing', 'deck_IceTunnel', 'deck_SnowCoveredIsland']
(0.1478171956966302, 'Gubr', 0.6840490797546013, 'Gub', 0.5362318840579711);['deck_IceTunnel', 'deck_NarfiBetrayerKing', 'deck_SnowCoveredIsland']
(0.13895055333563544, 'UGbr', 0.6523605150214592, 'UGb', 0.5134099616858238);['deck_IcebindPillar', 'deck_ShimmerdriftVale', 'deck_SnowCoveredForest']
(0.13895055333563544, 'UGbr', 0.6523605150214592, 'UGb', 0.5134099616858238);['deck_ShimmerdriftVale', 'deck_IcebindPillar', 'deck_SnowCoveredForest']
(0.13719055325780732, 'Gwub', 0.6231343283582089, 'Gub', 0.4859437751004016);['deck_GlitteringFrost', 'deck_LittjaraMirrorlake', 'deck_SnowCoveredSwamp']
(0.13719055325780732, 'Gwub', 0.6231343283582089, 'Gub', 0.4859437751004016);['deck_LittjaraMirrorlake', 'deck_GlitteringFrost', 'deck_SnowCoveredSwamp']
(0.13039410157565778, 'Gubr', 0.6368876080691642, 'Gub', 0.5064935064935064);['deck_GlitteringFrost', 'deck_SkemfarElderhall']
(0.13039410157565778, 'Gubr', 0.6368876080691642, 'Gub', 0.5064935064935064);['deck_SkemfarElderhall', 'deck_GlitteringFrost']
(0.12990654205607477, 'UGbr', 0.7, 'UGr', 0.5700934579439252);['deck_Mistwalker', 'deck_AvalancheCaller']
(0.12990654205607477, 'UGbr', 0.7, 'UGr', 0.5700934579439252);['deck_AvalancheCaller', 'deck_Mistwalker']
(0.12927031695116753, 'Gubr', 0.6430317848410758, 'Gub', 0.5137614678899083);['deck_GnottvoldRecluse', 'deck_SnowCoveredIsland', 'deck_SnowCoveredForest']
