Quality;Description
(0.1883595471468733, 'BURG', 0.6355140186915887, 'BU', 0.44715447154471544);['deck_ShimmerdriftVale', 'deck_BergStrider']
(0.18674440538454945, 'BURG', 0.677570093457944, 'BU', 0.4908256880733945);['deck_BergStrider', 'deck_NarfiBetrayerKing']
(0.18393305439330543, 'BUG', 0.64, 'BU', 0.4560669456066946);['deck_ShimmerdriftVale', 'deck_ElderfangDisciple']
(0.18128861429832305, 'BURG', 0.6181818181818182, 'BU', 0.4368932038834951);['deck_ShimmerdriftVale', 'deck_Mistwalker']
(0.17724660397074188, 'BUG', 0.6212121212121212, 'BU', 0.44396551724137934);['deck_ShimmerdriftVale', 'deck_RaisetheDraugr']
(0.17228090208392804, 'BGRU', 0.6238938053097345, 'BU', 0.45161290322580644);['deck_BergStrider', 'deck_KomasFaithful']
(0.17051490216583642, 'BGRU', 0.6089385474860335, 'BU', 0.43842364532019706);['deck_SnowCoveredIsland', 'deck_RunAshore']
(0.16900826446280992, 'WBGU', 0.6099173553719008, 'WBU', 0.4409090909090909);['deck_VolatileFjord']
(0.16725290018778538, 'BURG', 0.6170798898071626, 'BU', 0.44982698961937717);['deck_WoodlandChasm']
(0.16171869799640548, 'BURG', 0.643646408839779, 'BU', 0.4819277108433735);['deck_SnowCoveredIsland', 'deck_NarfiBetrayerKing']
(0.1583582776882339, 'WBGU', 0.6162790697674418, 'WBU', 0.45792079207920794);['deck_DraugrRecruiter']
(0.1580879909616535, 'BURG', 0.6158536585365854, 'BU', 0.45776566757493187);['deck_SnowCoveredIsland', 'deck_BergStrider']
(0.15653520208604954, 'BUG', 0.6228813559322034, 'BU', 0.46634615384615385);['deck_HailstormValkyrie']
(0.15605218135158255, 'BRU', 0.6167664670658682, 'BU', 0.4607142857142857);['deck_BergStrider', 'deck_BindtheMonster']
(0.15475687103594082, 'BURG', 0.6558139534883721, 'BU', 0.5010570824524313);['deck_VengefulReaper']
(0.1546621473182061, 'BURG', 0.6275303643724697, 'BU', 0.4728682170542636);['deck_ShimmerdriftVale', 'deck_PriestoftheHauntedEdge']
(0.15363212513159874, 'WBG', 0.7110091743119266, 'WB', 0.5573770491803278);['deck_MasterSkald', 'deck_RunedCrown']
(0.1516129032258065, 'BRU', 0.6086021505376344, 'BU', 0.45698924731182794);['deck_BindtheMonster', 'deck_BeholdtheMultiverse']
(0.150358803782069, 'WBGU', 0.6540084388185654, 'BU', 0.5036496350364964);['deck_DisdainfulStroke', 'deck_Mistwalker']
(0.14942673237453485, 'BGU', 0.5797546012269938, 'BU', 0.430327868852459);['deck_BergStrider', 'deck_RaisetheDraugr']
(0.14845085470085473, 'WBRU', 0.6215277777777778, 'BU', 0.47307692307692306);['deck_RuneofMortality']
(0.1477691717601643, 'WBU', 0.562111801242236, 'BU', 0.41434262948207173);['deck_ShimmerdriftVale', 'deck_JarloftheForsaken']
(0.14514764829183985, 'BURG', 0.6240208877284595, 'BU', 0.4788732394366197);['deck_SnowCoveredIsland', 'deck_PriestoftheHauntedEdge']
(0.14345339585109407, 'WGU', 0.6618357487922706, 'GU', 0.5183823529411765);['deck_MoritteoftheFrost', 'deck_GlitteringFrost']
(0.14291464606773885, 'BGU', 0.6108949416342413, 'BU', 0.46798029556650245);['deck_PoisontheCup', 'deck_SkullRaid']
(0.14143374741200831, 'BURG', 0.6160714285714286, 'BU', 0.4746376811594203);['deck_ShimmerdriftVale', 'deck_SnowCoveredIsland']
(0.14044469462426123, 'BURG', 0.6698564593301436, 'BU', 0.5294117647058824);['deck_BeholdtheMultiverse', 'deck_NarfiBetrayerKing']
(0.14041339985744838, 'BGRU', 0.6138433515482696, 'BRU', 0.47342995169082125);['deck_VolatileFjord', 'deck_ReplicatingRing']
(0.1403464956096535, 'BUG', 0.6650717703349283, 'BU', 0.5247252747252747);['deck_ElderfangDisciple', 'deck_WeighDown']
(0.1401771756122981, 'WBGU', 0.6138613861386139, 'WBU', 0.47368421052631576);['deck_SnowCoveredIsland', 'deck_BeholdtheMultiverse', 'deck_SnowfieldSinkhole']
(0.13928329952670726, 'BGRU', 0.6637931034482759, 'GRU', 0.5245098039215687);['deck_BergStrider', 'deck_GiantsAmulet', 'deck_VolatileFjord']
(0.13723588104865003, 'BGRU', 0.6629711751662971, 'BGU', 0.5257352941176471);['deck_SnowCoveredIsland', 'deck_NarfiBetrayerKing', 'deck_IceTunnel']
(0.13718779845454804, 'BUG', 0.6261467889908257, 'BU', 0.4889589905362776);['deck_VillageRites']
(0.13710622191897215, 'BRU', 0.5879732739420935, 'BU', 0.4508670520231214);['deck_BindtheMonster', 'deck_Mistwalker']
(0.1367982770997846, 'BUG', 0.6342857142857142, 'BU', 0.49748743718592964);['deck_NarfiBetrayerKing', 'deck_SnowCoveredSwamp']
(0.13671250399744161, 'BURG', 0.5943396226415094, 'BU', 0.4576271186440678);['deck_ShimmerdriftVale', 'deck_IceTunnel']
