Quality;Description
(0.24290590996372952, 'BURG', 0.6511627906976745, 'BU', 0.40825688073394495);['deck_types_Artifact==0', 'deck_power_1==1', 'deck_power_2==1']
(0.24290590996372952, 'BURG', 0.6511627906976745, 'BU', 0.40825688073394495);['deck_power_1==1', 'deck_types_Artifact==0', 'deck_power_2==1']
(0.2360446570972886, 'BURG', 0.6666666666666666, 'BU', 0.430622009569378);['deck_types_Artifact==0', 'deck_power_1==1', 'deck_types_Sorcery==1']
(0.2360446570972886, 'BURG', 0.6666666666666666, 'BU', 0.430622009569378);['deck_power_1==1', 'deck_types_Artifact==0', 'deck_types_Sorcery==1']
(0.23107729275130157, 'BURG', 0.6363636363636364, 'BU', 0.4052863436123348);['deck_toughness_2==2', 'deck_SnowCoveredIsland', 'deck_toughness_5==0']
(0.23107729275130157, 'BURG', 0.6363636363636364, 'BU', 0.4052863436123348);['deck_SnowCoveredIsland', 'deck_toughness_2==2', 'deck_toughness_5==0']
(0.2299421009098429, 'BURG', 0.6401985111662531, 'BU', 0.41025641025641024);['deck_toughness_2==2', 'deck_power_0==1', 'deck_toughness_5==0']
(0.2299421009098429, 'BURG', 0.6401985111662531, 'BU', 0.41025641025641024);['deck_power_0==1', 'deck_toughness_2==2', 'deck_toughness_5==0']
(0.22565906745473313, 'BURG', 0.65311004784689, 'BU', 0.42745098039215684);['deck_types_Artifact==0', 'deck_power_1==1', 'deck_types_None==0']
(0.22565906745473313, 'BURG', 0.65311004784689, 'BU', 0.42745098039215684);['deck_power_1==1', 'deck_types_Artifact==0', 'deck_types_None==0']
(0.22565906745473313, 'BURG', 0.65311004784689, 'BU', 0.42745098039215684);['deck_types_Artifact==0', 'deck_power_1==1']
(0.22565906745473313, 'BURG', 0.65311004784689, 'BU', 0.42745098039215684);['deck_power_1==1', 'deck_types_Artifact==0']
(0.2247451146983857, 'BUG', 0.6156542056074766, 'BU', 0.39090909090909093);['deck_power_5==1', 'deck_power_1==1', 'deck_toughness_7==0']
(0.2247451146983857, 'BUG', 0.6156542056074766, 'BU', 0.39090909090909093);['deck_power_1==1', 'deck_power_5==1', 'deck_toughness_7==0']
(0.2247451146983857, 'BUG', 0.6156542056074766, 'BU', 0.39090909090909093);['deck_power_5==1', 'deck_toughness_7==0', 'deck_power_1==1']
(0.22440191387559816, 'WBUG', 0.6698564593301436, 'BU', 0.44545454545454544);['deck_toughness_6==1', 'deck_power_3==2', 'deck_types_ArtifactCreature==0']
(0.22440191387559816, 'WBUG', 0.6698564593301436, 'BU', 0.44545454545454544);['deck_power_3==2', 'deck_toughness_6==1', 'deck_types_ArtifactCreature==0']
