Quality;Description
(0.19490089865918903, 'URB', 0.5980629539951574, 'UB', 0.4031620553359684);['deck_ShimmerdriftVale_1', 'deck_Mistwalker_1']
(0.19490089865918903, 'URB', 0.5980629539951574, 'UB', 0.4031620553359684);['deck_Mistwalker_1', 'deck_ShimmerdriftVale_1']
(0.18654557439484382, 'URB', 0.6443768996960486, 'UB', 0.4578313253012048);['deck_BindtheMonster_1', 'deck_BeholdtheMultiverse_1']
(0.18654557439484382, 'URB', 0.6443768996960486, 'UB', 0.4578313253012048);['deck_BeholdtheMultiverse_1', 'deck_BindtheMonster_1']
(0.18573256012280404, 'UBWG', 0.626641651031895, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1']
(0.17438985854755668, 'URB', 0.6413502109704642, 'UB', 0.4669603524229075);['deck_RunAshore_1', 'deck_AuguryRaven_1']
(0.17438985854755668, 'URB', 0.6413502109704642, 'UB', 0.4669603524229075);['deck_AuguryRaven_1', 'deck_RunAshore_1']
(0.16946868959053368, 'UBWG', 0.627906976744186, 'UBW', 0.45843828715365237);['deck_DraugrRecruiter_1']
(0.16427546628407458, 'UBWG', 0.6544715447154471, 'UB', 0.49019607843137253);['deck_SnowCoveredIsland_1', 'deck_DeparttheRealm_1']
(0.16427546628407458, 'UBWG', 0.6544715447154471, 'UB', 0.49019607843137253);['deck_DeparttheRealm_1', 'deck_SnowCoveredIsland_1']
(0.16090484169679864, 'UBRG', 0.6724137931034483, 'UBG', 0.5115089514066496);['deck_ShimmerdriftVale_1', 'deck_SnowCoveredIsland_1', 'deck_PilferingHawk_1']
(0.16090484169679864, 'UBRG', 0.6724137931034483, 'UBG', 0.5115089514066496);['deck_SnowCoveredIsland_1', 'deck_ShimmerdriftVale_1', 'deck_PilferingHawk_1']
(0.16090484169679864, 'UBRG', 0.6724137931034483, 'UBG', 0.5115089514066496);['deck_SnowCoveredIsland_1', 'deck_PilferingHawk_1', 'deck_ShimmerdriftVale_1']
(0.16090484169679864, 'UBRG', 0.6724137931034483, 'UBG', 0.5115089514066496);['deck_PilferingHawk_1', 'deck_SnowCoveredIsland_1', 'deck_ShimmerdriftVale_1']
(0.1605051664753157, 'URB', 0.6269230769230769, 'UB', 0.4664179104477612);['deck_BindtheMonster_1', 'deck_ShimmerdriftVale_1']
(0.1605051664753157, 'URB', 0.6269230769230769, 'UB', 0.4664179104477612);['deck_ShimmerdriftVale_1', 'deck_BindtheMonster_1']
(0.16030303030303034, 'UBG', 0.6136363636363636, 'UB', 0.4533333333333333);['deck_SnowCoveredSwamp_2', 'deck_KomasFaithful_1']
(0.16030303030303034, 'UBG', 0.6136363636363636, 'UB', 0.4533333333333333);['deck_KomasFaithful_1', 'deck_SnowCoveredSwamp_2']
(0.15907704042715487, 'UBG', 0.6152173913043478, 'UB', 0.45614035087719296);['deck_BeholdtheMultiverse_1', 'deck_IngaRuneEyes_1']
