Quality;Description
(0.25519504192489967, 'UBWG', 0.6398104265402843, 'UBW', 0.38461538461538464);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_BindtheMonster_0']
(0.25519504192489967, 'UBWG', 0.6398104265402843, 'UBW', 0.38461538461538464);['deck_DraugrRecruiter_1', 'deck_BindtheMonster_0', 'deck_BoundinGold_0']
(0.24849823034711177, 'URWB', 0.6699029126213593, 'UB', 0.4214046822742475);['deck_SnowCoveredIsland_0', 'deck_Mistwalker_0', 'deck_SulfurousMire_0']
(0.24849823034711177, 'URWB', 0.6699029126213593, 'UB', 0.4214046822742475);['deck_Mistwalker_0', 'deck_SnowCoveredIsland_0', 'deck_SulfurousMire_0']
(0.247443958447239, 'URWB', 0.6305084745762712, 'UB', 0.38306451612903225);['deck_SnowCoveredIsland_0', 'deck_Mistwalker_0', 'deck_InfernalPet_0']
(0.247443958447239, 'URWB', 0.6305084745762712, 'UB', 0.38306451612903225);['deck_Mistwalker_0', 'deck_SnowCoveredIsland_0', 'deck_InfernalPet_0']
(0.24470963818789904, 'UBWG', 0.68561872909699, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_BorealOutrider_0', 'deck_GnottvoldRecluse_0']
(0.24470963818789904, 'UBWG', 0.68561872909699, 'UBW', 0.4409090909090909);['deck_BorealOutrider_0', 'deck_VolatileFjord_1', 'deck_GnottvoldRecluse_0']
(0.24470963818789904, 'UBWG', 0.68561872909699, 'UBW', 0.4409090909090909);['deck_VolatileFjord_1', 'deck_GnottvoldRecluse_0', 'deck_BorealOutrider_0']
(0.24427506324058046, 'UBWG', 0.6699507389162561, 'UBW', 0.42567567567567566);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_TheThreeSeasons_0']
(0.24427506324058046, 'UBWG', 0.6699507389162561, 'UBW', 0.42567567567567566);['deck_DraugrRecruiter_1', 'deck_TheThreeSeasons_0', 'deck_BoundinGold_0']
(0.24427506324058046, 'UBWG', 0.6699507389162561, 'UBW', 0.42567567567567566);['deck_TheThreeSeasons_0', 'deck_DraugrRecruiter_1', 'deck_BoundinGold_0']
(0.24123394872238318, 'UBWG', 0.6386138613861386, 'UBW', 0.39737991266375544);['deck_DraugrRecruiter_1', 'deck_KarfellKennelMaster_0', 'deck_TergridsShadow_0']
(0.24123394872238318, 'UBWG', 0.6386138613861386, 'UBW', 0.39737991266375544);['deck_DraugrRecruiter_1', 'deck_TergridsShadow_0', 'deck_KarfellKennelMaster_0']
(0.2410844376604454, 'UBWG', 0.6600985221674877, 'UBW', 0.41901408450704225);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_CosmosElixir_0']
(0.2410844376604454, 'UBWG', 0.6600985221674877, 'UBW', 0.41901408450704225);['deck_DraugrRecruiter_1', 'deck_CosmosElixir_0', 'deck_BoundinGold_0']
(0.2410844376604454, 'UBWG', 0.6600985221674877, 'UBW', 0.41901408450704225);['deck_CosmosElixir_0', 'deck_DraugrRecruiter_1', 'deck_BoundinGold_0']
(0.24108309990662935, 'UBWG', 0.6444444444444445, 'UBW', 0.40336134453781514);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_Doomskar_0']
(0.24108309990662935, 'UBWG', 0.6444444444444445, 'UBW', 0.40336134453781514);['deck_DraugrRecruiter_1', 'deck_Doomskar_0', 'deck_BoundinGold_0']
(0.24018353054817682, 'UBWG', 0.6609756097560976, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_HighlandForest_0']
(0.24018353054817682, 'UBWG', 0.6609756097560976, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_HighlandForest_0']
(0.24018353054817682, 'UBWG', 0.6609756097560976, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_HighlandForest_0', 'deck_FrostpyreArcanist_0']
(0.23996741446296527, 'UBWG', 0.660759493670886, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0', 'deck_BorealOutrider_0']
(0.23996741446296527, 'UBWG', 0.660759493670886, 'UBW', 0.4207920792079208);['deck_FrostpyreArcanist_0', 'deck_VolatileFjord_1', 'deck_BorealOutrider_0']
(0.23996741446296527, 'UBWG', 0.660759493670886, 'UBW', 0.4207920792079208);['deck_VolatileFjord_1', 'deck_BorealOutrider_0', 'deck_FrostpyreArcanist_0']
(0.23996741446296527, 'UBWG', 0.660759493670886, 'UBW', 0.4207920792079208);['deck_BorealOutrider_0', 'deck_VolatileFjord_1', 'deck_FrostpyreArcanist_0']
(0.2389069264069264, 'UBWG', 0.6517857142857143, 'UBW', 0.4128787878787879);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_VillageRites_0']
(0.2389069264069264, 'UBWG', 0.6517857142857143, 'UBW', 0.4128787878787879);['deck_DraugrRecruiter_1', 'deck_VillageRites_0', 'deck_BoundinGold_0']
(0.23839223839223844, 'UBWG', 0.6486486486486487, 'UBW', 0.41025641025641024);['deck_DraugrRecruiter_1', 'deck_BoundinGold_0', 'deck_VegatheWatcher_0']
(0.23839223839223844, 'UBWG', 0.6486486486486487, 'UBW', 0.41025641025641024);['deck_DraugrRecruiter_1', 'deck_VegatheWatcher_0', 'deck_BoundinGold_0']
