Quality;Description
"(0.35933806146572106, 'user_deck_colors==""WUR"" and opposing_R==True', 0.7777777777777778, 'user_deck_colors==""UR"" and opposing_W==True', 0.41843971631205673)";['deck_FirstDayofClass', 'deck_PigmentStorm', 'deck_ElementalMasterpiece']
"(0.35933806146572106, 'user_deck_colors==""WUR"" and opposing_R==True', 0.7777777777777778, 'user_deck_colors==""UR"" and opposing_W==True', 0.41843971631205673)";['deck_FirstDayofClass', 'deck_ElementalMasterpiece', 'deck_PigmentStorm']
"(0.3007733007733008, 'user_deck_colors==""WUR"" and opposing_R==True', 0.6923076923076923, 'user_deck_colors==""UR"" and opposing_W==True', 0.3915343915343915)";['deck_FirstDayofClass', 'deck_PigmentStorm']
"(0.29501857608613236, 'user_deck_colors==""WUR"" and opposing_G==True', 0.7247706422018348, 'user_deck_colors==""UR"" and opposing_W==True', 0.4297520661157025)";['deck_TestofTalents', 'deck_ThrillofPossibility']
"(0.28905973842347116, 'user_deck_colors==""WUR"" and opposing_R==True', 0.7463768115942029, 'user_deck_colors==""UR"" and opposing_W==True', 0.4573170731707317)";['deck_FirstDayofClass', 'deck_ElementalMasterpiece', 'deck_BuryinBooks']
"(0.2810475922275416, 'user_deck_colors==""WUR"" and opposing_U==True', 0.7735849056603774, 'user_deck_colors==""UR"" and opposing_U==True', 0.4925373134328358)";['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_PigmentStorm']
"(0.27598130841121504, 'user_deck_colors==""WBG"" and opposing_R==True', 0.79, 'user_deck_colors==""WBG"" and opposing_G==True', 0.514018691588785)";['deck_FortifyingDraught', 'deck_MolderingKarok', 'deck_SilverquillCampus']
"(0.26016858442601015, 'user_deck_colors==""WUR"" and opposing_R==True', 0.7128712871287128, 'user_deck_colors==""UR"" and opposing_W==True', 0.4527027027027027)";['deck_FirstDayofClass', 'deck_ElementalMasterpiece', 'deck_SpectacleMage']
"(0.26016858442601015, 'user_deck_colors==""WUR"" and opposing_R==True', 0.7128712871287128, 'user_deck_colors==""UR"" and opposing_W==True', 0.4527027027027027)";['deck_FirstDayofClass', 'deck_SpectacleMage', 'deck_ElementalMasterpiece']
"(0.2599789915966386, 'user_deck_colors==""WUR"" and opposing_U==True', 0.6974789915966386, 'user_deck_colors==""UR"" and opposing_G==True', 0.4375)";['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_PillardropWarden']
