Quality;Description
(0.1707393483709273, 'WUR', 0.7083333333333334, 'WR', 0.5375939849624061);['deck_ExplosiveWelcome', 'deck_PillardropRescuer']
(0.1685742877693342, 'WUR', 0.6555023923444976, 'UR', 0.4869281045751634);['deck_FirstDayofClass', 'deck_PigmentStorm', 'deck_ElementalMasterpiece']
(0.16839123513437582, 'WUR', 0.6822033898305084, 'UR', 0.5138121546961326);['deck_FirstDayofClass', 'deck_ElementalMasterpiece', 'deck_BuryinBooks']
(0.16214167319824735, 'WUR', 0.673352435530086, 'UR', 0.5112107623318386);['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_BuryinBooks']
(0.15616086515714767, 'UBG', 0.6654545454545454, 'BG', 0.5092936802973977);['deck_LeylineInvocation', 'deck_RecklessAmplimancer', 'deck_CramSession']
(0.15286713286713294, 'WUR', 0.6328671328671329, 'UR', 0.48);['deck_LetterofAcceptance', 'deck_PigmentStorm', 'deck_ArcaneSubtraction']
(0.14896107696810068, 'WBR', 0.6862745098039216, 'WR', 0.5373134328358209);['deck_HofriGhostforge', 'deck_RiseofExtus', 'deck_LoreholdCampus']
(0.14745484400656822, 'WUR', 0.6379310344827587, 'UR', 0.49047619047619045);['deck_LetterofAcceptance', 'deck_PigmentStorm', 'deck_SerpentineCurve']
(0.14709790209790208, 'UGR', 0.6634615384615384, 'UR', 0.5163636363636364);['deck_Opt', 'deck_Electrolyze']
(0.1428844317096466, 'WUR', 0.6762177650429799, 'UR', 0.5333333333333333);['deck_LetterofAcceptance', 'deck_PigmentStorm', 'deck_BuryinBooks']
(0.1405846071332797, 'WUR', 0.6509090909090909, 'UR', 0.5103244837758112);['deck_FirstDayofClass', 'deck_PrismariPledgemage', 'deck_BuryinBooks']
(0.1391933199135167, 'WUR', 0.688212927756654, 'UR', 0.5490196078431373);['deck_LetterofAcceptance', 'deck_PigmentStorm', 'deck_CreativeOutburst']
(0.13667216302020524, 'WBG', 0.7444933920704846, 'BG', 0.6078212290502794);['deck_FortifyingDraught', 'deck_MageDuel', 'deck_BloodResearcher']
(0.13525846702317296, 'WUR', 0.6254545454545455, 'UR', 0.49019607843137253);['deck_FirstDayofClass', 'deck_PrismariPledgemage', 'deck_SpectacleMage']
(0.13398916967509023, 'WUR', 0.6389891696750902, 'UR', 0.505);['deck_FirstDayofClass', 'deck_ElementalMasterpiece', 'deck_PrismariPledgemage']
(0.13368882837909385, 'WUR', 0.5982905982905983, 'UR', 0.4646017699115044);['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_ArcaneSubtraction']
(0.13258904837852203, 'WBG', 0.631578947368421, 'BG', 0.498989898989899);['deck_BiblioplexAssistant', 'deck_ProfessorofZoomancy']
(0.13166144200626956, 'WUR', 0.5862068965517241, 'UR', 0.45454545454545453);['deck_FirstDayofClass', 'deck_PigmentStorm', 'deck_PrismariPledgemage']
(0.12998569839504215, 'UGR', 0.6866359447004609, 'UG', 0.5566502463054187);['deck_Opt', 'deck_Bookwurm', 'deck_ArcaneSubtraction']
