Quality;Description
"(0.2586422018348624, 'user_deck_colors==""BGW"" and opposing_R==True', 0.7706422018348624, 'user_deck_colors==""BGW"" and opposing_G==True', 0.512)";['deck_FortifyingDraught', 'deck_MolderingKarok']
"(0.2534305317324185, 'user_deck_colors==""URW"" and opposing_W==True', 0.6590909090909091, 'user_deck_colors==""URW"" and opposing_U==True', 0.4056603773584906)";['deck_PillardropWarden', 'deck_Reject', 'deck_ElementalMasterpiece']
"(0.24482904178978476, 'user_deck_colors==""UGR"" and opposing_R==True', 0.6796116504854369, 'user_deck_colors==""UR"" and opposing_U==True', 0.43478260869565216)";['deck_VortexRunner', 'deck_WhirlwindDenial']
"(0.24101977239493927, 'user_deck_colors==""URW"" and opposing_B==True', 0.6802721088435374, 'user_deck_colors==""UR"" and opposing_U==True', 0.4392523364485981)";['deck_LetterofAcceptance', 'deck_ArcaneSubtraction', 'deck_PigmentStorm']
"(0.23885995370370372, 'user_deck_colors==""URW"" and opposing_R==True', 0.7037037037037037, 'user_deck_colors==""UR"" and opposing_W==True', 0.46484375)";['deck_FirstDayofClass', 'deck_ElementalMasterpiece']
"(0.23786209710322315, 'user_deck_colors==""UR"" and opposing_R==True', 0.6589147286821705, 'user_deck_colors==""UR"" and opposing_G==True', 0.42105263157894735)";['deck_PillardropWarden', 'deck_TorrentSculptor', 'deck_PrismariCampus']
"(0.23765020026702272, 'user_deck_colors==""BGU"" and opposing_U==True', 0.7142857142857143, 'user_deck_colors==""BGU"" and opposing_W==True', 0.4766355140186916)";['deck_PlumbtheForbidden', 'deck_HuntforSpecimens']
"(0.23703703703703705, 'user_deck_colors==""URW"" and opposing_R==True', 0.7037037037037037, 'user_deck_colors==""UR"" and opposing_U==True', 0.4666666666666667)";['deck_LetterofAcceptance', 'deck_CreativeOutburst', 'deck_ElementalMasterpiece']
"(0.23626616557975016, 'user_deck_colors==""URW"" and opposing_G==True', 0.6880733944954128, 'user_deck_colors==""UR"" and opposing_B==True', 0.45180722891566266)";['deck_FirstDayofClass', 'deck_PrismariPledgemage', 'deck_BuryinBooks']
"(0.23521367521367526, 'user_deck_colors==""URW"" and opposing_R==True', 0.6752136752136753, 'user_deck_colors==""UR"" and opposing_B==True', 0.44)";['deck_FirstDayofClass', 'deck_SpectacleMage', 'deck_PrismariPledgemage']
"(0.23286102762272787, 'user_deck_colors==""WR"" and opposing_W==True', 0.6642335766423357, 'user_deck_colors==""WR"" and opposing_U==True', 0.43137254901960786)";['deck_TeamPennant', 'deck_PillardropRescuer']
"(0.23202794631366058, 'user_deck_colors==""BG"" and opposing_U==True', 0.673469387755102, 'user_deck_colors==""BG"" and opposing_W==True', 0.44144144144144143)";['deck_KarokWrangler', 'deck_RecklessAmplimancer', 'deck_WitherbloomCampus']
"(0.23112017084061348, 'user_deck_colors==""BGU"" and opposing_B==True', 0.6568627450980392, 'user_deck_colors==""BG"" and opposing_U==True', 0.42574257425742573)";['deck_CampusGuide', 'deck_WitherbloomCampus']
"(0.22774702840032662, 'user_deck_colors==""URW"" and opposing_W==True', 0.6355140186915887, 'user_deck_colors==""URW"" and opposing_U==True', 0.4077669902912621)";['deck_Resculpt']
"(0.224650512581547, 'user_deck_colors==""URW"" and opposing_B==True', 0.7327586206896551, 'user_deck_colors==""UR"" and opposing_W==True', 0.5081081081081081)";['deck_PrismariCampus', 'deck_HallofOracles']
"(0.22235023041474655, 'user_deck_colors==""URW"" and opposing_U==True', 0.6785714285714286, 'user_deck_colors==""UR"" and opposing_W==True', 0.45622119815668205)";['deck_FirstDayofClass', 'deck_SpectacleMage']
"(0.22232699460422234, 'user_deck_colors==""URG"" and opposing_B==True', 0.6138613861386139, 'user_deck_colors==""UR"" and opposing_W==True', 0.3915343915343915)";['deck_FirstDayofClass', 'deck_PigmentStorm']
"(0.22146910466582603, 'user_deck_colors==""BGU"" and opposing_U==True', 0.7788461538461539, 'user_deck_colors==""BG"" and opposing_R==True', 0.5573770491803278)";['deck_Cultivate', 'deck_LashofMalice']
"(0.2208797032326444, 'user_deck_colors==""URG"" and opposing_U==True', 0.6352941176470588, 'user_deck_colors==""UR"" and opposing_U==True', 0.4144144144144144)";['deck_LetterofAcceptance', 'deck_ArcaneSubtraction', 'deck_CreativeOutburst']
"(0.22074338581399128, 'user_deck_colors==""UR"" and opposing_B==True', 0.6633663366336634, 'user_deck_colors==""UR"" and opposing_R==True', 0.4426229508196721)";['deck_SpellSatchel', 'deck_PrismariCampus']
"(0.21883116883116877, 'user_deck_colors==""UBG"" and opposing_W==True', 0.6688311688311688, 'user_deck_colors==""UBG"" and opposing_U==True', 0.45)";['deck_CampusGuide', 'deck_EurekaMoment']
"(0.21739363125501732, 'user_deck_colors==""URW"" and opposing_G==True', 0.693069306930693, 'user_deck_colors==""UR"" and opposing_B==True', 0.4756756756756757)";['deck_FirstDayofClass', 'deck_PrismariPledgemage', 'deck_ArcaneSubtraction']
"(0.21674718196457327, 'user_deck_colors==""BGU"" and opposing_U==True', 0.7037037037037037, 'user_deck_colors==""BGU"" and opposing_W==True', 0.48695652173913045)";['deck_PlumbtheForbidden', 'deck_BloodResearcher']
"(0.21503404924044, 'user_deck_colors==""URG"" and opposing_U==True', 0.642570281124498, 'user_deck_colors==""UR"" and opposing_U==True', 0.427536231884058)";['deck_LetterofAcceptance', 'deck_ArcaneSubtraction', 'deck_ElementalMasterpiece']
"(0.20996371481808374, 'user_deck_colors==""URG"" and opposing_U==True', 0.6565656565656566, 'user_deck_colors==""UR"" and opposing_U==True', 0.44660194174757284)";['deck_LetterofAcceptance', 'deck_ArcaneSubtraction', 'deck_PopQuiz']
