Quality;Description
(0.18362658846529822, 'GR', 0.6881720430107527, 'BGR', 0.5045454545454545);['deck_RunedCrown', 'deck_MaskedVandal']
(0.16810257225918757, 'GR', 0.7003154574132492, 'UGR', 0.5322128851540616);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_DemonBolt']
(0.1585340879472763, 'GWR', 0.6565420560747663, 'UGWR', 0.49800796812749004);['deck_ReidaneGodoftheWorthy']
(0.15765379113018596, 'GR', 0.6909871244635193, 'UGR', 0.5333333333333333);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_MaskedVandal']
(0.1497015915119363, 'GR', 0.7025862068965517, 'BGR', 0.5528846153846154);['deck_AlpineMeadow', 'deck_MaskedVandal']
(0.14804825751117312, 'GR', 0.6854219948849105, 'UGR', 0.5373737373737374);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_SnowCoveredMountain']
(0.14791779818367834, 'GW', 0.6406007250129466, 'UGW', 0.4926829268292683);['deck_KingHaraldsRevenge']
(0.1406078465360837, 'GW', 0.6591263650546022, 'UGW', 0.5185185185185185);['deck_BattlefieldRaptor', 'deck_StalwartValkyrie', 'deck_GoldveinPick']
(0.13991382449326373, 'GW', 0.724025974025974, 'UGW', 0.5841121495327103);['deck_RunedCrown', 'deck_BattlefieldRaptor']
(0.13796992481203008, 'GR', 0.7142857142857143, 'UGR', 0.5763157894736842);['deck_AlpineMeadow', 'deck_FrostBite']
(0.13690732758620694, 'GR', 0.7265625, 'UGR', 0.5896551724137931);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_SculptorofWinter']
(0.13564717116819724, 'GR', 0.6485623003194888, 'UGR', 0.5129151291512916);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_FrostBite']
(0.13248578119772492, 'GWR', 0.673469387755102, 'BGWR', 0.5409836065573771);['deck_ElvenBow', 'deck_MasterSkald']
(0.13185654008438819, 'GR', 0.6666666666666666, 'UGR', 0.5348101265822784);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_HighlandForest']
(0.12952668246785892, 'GR', 0.6787330316742082, 'UGR', 0.5492063492063493);['deck_AlpineMeadow', 'deck_CravenHulk']
(0.12896886593759083, 'GW', 0.6708407871198568, 'UGW', 0.541871921182266);['deck_RuneforgeChampion']
(0.1287736982986114, 'GW', 0.6357667052916184, 'UGW', 0.506993006993007);['deck_BeskirShieldmate', 'deck_StarnheimCourser']
(0.1287491705374918, 'GW', 0.656021897810219, 'UGW', 0.5272727272727272);['deck_BattlefieldRaptor', 'deck_BoundinGold', 'deck_GoldveinPick']
(0.12856837606837612, 'GR', 0.6622222222222223, 'UGR', 0.5336538461538461);['deck_ImmersturmRaider', 'deck_IcehideTroll', 'deck_DemonBolt']
(0.12682553221117865, 'GW', 0.7031802120141343, 'BGW', 0.5763546798029556);['deck_RunedCrown', 'deck_GnottvoldRecluse']
(0.12483172492093098, 'GW', 0.6559322033898305, 'UGW', 0.5311004784688995);['deck_BeskirShieldmate', 'deck_BoundinGold', 'deck_SnowCoveredPlains']
(0.12314596112971277, 'GR', 0.6591337099811676, 'UGR', 0.5359877488514548);['deck_IcehideTroll', 'deck_AxgardCavalry']
(0.12260869565217392, 'GR', 0.657608695652174, 'UGR', 0.535);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_SnowCoveredForest']
(0.12053640833840451, 'GW', 0.6771866546438232, 'UGW', 0.5566502463054187);['deck_BattlefieldRaptor', 'deck_StalwartValkyrie', 'deck_MajaBretagardProtector']
(0.11956976965543498, 'GR', 0.7038834951456311, 'UGR', 0.5843137254901961);['deck_AlpineMeadow', 'deck_SarulfsPackmate', 'deck_SnowCoveredForest']
(0.11859056122448974, 'GW', 0.6573660714285714, 'UGW', 0.5387755102040817);['deck_BattlefieldRaptor', 'deck_MajaBretagardProtector', 'deck_GoldveinPick']
(0.11856653564122022, 'GW', 0.6283704572098476, 'UGW', 0.5098039215686274);['deck_BeskirShieldmate', 'deck_SnowCoveredForest']
(0.11848184818481844, 'GWR', 0.6333333333333333, 'UGWR', 0.5148514851485149);['deck_IronVerdict', 'deck_ShimmerdriftVale']
(0.11823224190373949, 'GWR', 0.6202898550724638, 'BGWR', 0.5020576131687243);['deck_FalloftheImpostor', 'deck_GoldveinPick']
(0.11778052805280526, 'GR', 0.6386138613861386, 'UGR', 0.5208333333333334);['deck_RuneofSpeed', 'deck_DemonBolt']
(0.1174626568878595, 'GR', 0.6295399515738499, 'BGR', 0.5120772946859904);['deck_FearlessPup', 'deck_SnowCoveredForest']
(0.116603634835592, 'GW', 0.6473053892215569, 'UGW', 0.5307017543859649);['deck_BeskirShieldmate', 'deck_BoundinGold', 'deck_StalwartValkyrie']
(0.11569864538875485, 'GR', 0.6451104100946372, 'BGR', 0.5294117647058824);['deck_Squash', 'deck_DwarvenReinforcements', 'deck_TuskeriFirewalker']
(0.11516047238137928, 'GW', 0.6376518218623481, 'BGW', 0.5224913494809689);['deck_IronVerdict', 'deck_ShepherdoftheCosmos']
(0.1148123765635286, 'GW', 0.7188940092165899, 'BGW', 0.6040816326530613);['deck_BeskirShieldmate', 'deck_ShimmerdriftVale', 'deck_GoldveinPick']
(0.11410276030942179, 'GW', 0.6587456174522789, 'UGW', 0.5446428571428571);['deck_BattlefieldRaptor', 'deck_StalwartValkyrie']
(0.11250106127615567, 'GW', 0.6432028156621206, 'UGW', 0.5307017543859649);['deck_BeskirShieldmate', 'deck_FalloftheImpostor']
(0.11223316222053914, 'GR', 0.6143790849673203, 'BGR', 0.5021459227467812);['deck_FearlessPup', 'deck_ShimmerdriftVale']
(0.11215799614643546, 'GR', 0.6054913294797688, 'BGR', 0.49333333333333335);['deck_FearlessPup', 'deck_TuskeriFirewalker', 'deck_AxgardCavalry']
(0.11157407407407405, 'GW', 0.6625, 'BGW', 0.5509259259259259);['deck_KingHaraldsRevenge', 'deck_MajaBretagardProtector']
(0.11053393411621881, 'GWR', 0.6327014218009479, 'BGWR', 0.5221674876847291);['deck_RuneofSustenance', 'deck_RuneofMight']
(0.11035926719010236, 'UW', 0.6081370449678801, 'UWR', 0.49777777777777776);['deck_BindtheMonster', 'deck_DeparttheRealm']
(0.10985098840353302, 'GR', 0.6713483146067416, 'BGR', 0.5614973262032086);['deck_RunedCrown', 'deck_RuneofMight']
(0.10960047579795285, 'GR', 0.628428927680798, 'UGR', 0.5188284518828452);['deck_GuardianGladewalker', 'deck_ProvoketheTrolls']
(0.10946188340807184, 'GR', 0.67, 'UGR', 0.5605381165919282);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_TuskeriFirewalker']
(0.10933664918635455, 'GW', 0.6074498567335244, 'BGW', 0.4981132075471698);['deck_BloodlinePretender', 'deck_ElderleafMentor']
(0.10929934196912638, 'GR', 0.6712328767123288, 'UGR', 0.5619335347432024);['deck_IcehideTroll', 'deck_AxgardCavalry', 'deck_SarulfsPackmate']
(0.10918188377317761, 'GW', 0.6378162450066578, 'BGW', 0.5286343612334802);['deck_BattlefieldRaptor', 'deck_IronVerdict']
(0.10908014458432003, 'GR', 0.6732394366197183, 'UGR', 0.5641592920353983);['deck_CinderheartGiant', 'deck_DwarvenHammer']
(0.10857993607872896, 'GW', 0.6399082568807339, 'UGW', 0.531328320802005);['deck_KayasOnslaught']
(0.10806884410945317, 'GW', 0.7309644670050761, 'UGW', 0.622895622895623);['deck_RunedCrown', 'deck_GoldveinPick']
(0.10772609254810606, 'GWR', 0.6637426900584795, 'BGWR', 0.5560165975103735);['deck_RuneofSustenance', 'deck_JasperaSentinel']
(0.10769713568412642, 'GR', 0.6692913385826772, 'UGR', 0.5615942028985508);['deck_CalamityBearer', 'deck_FrostBite']
(0.10718002793678616, 'GW', 0.6330420969023034, 'BGW', 0.5258620689655172);['deck_ValoroftheWorthy']
(0.1071579172265672, 'GW', 0.6130867709815079, 'BGW', 0.5059288537549407);['deck_RavenWings', 'deck_RuneofMight']
(0.10703342079741063, 'GR', 0.6414686825053996, 'UGR', 0.5344352617079889);['deck_CinderheartGiant', 'deck_HagiMob']
(0.10681838954391742, 'GWR', 0.6449136276391555, 'BGWR', 0.5380952380952381);['deck_BeskirShieldmate', 'deck_RuneofSustenance']
(0.10668934240362804, 'GR', 0.6944444444444444, 'UGR', 0.5877551020408164);['deck_AlpineMeadow', 'deck_SarulfsPackmate']
(0.10667309252054114, 'GWR', 0.6543909348441926, 'BGWR', 0.5477178423236515);['deck_ElvenBow', 'deck_GrizzledOutrider']
(0.10661852339039302, 'GWR', 0.6132264529058116, 'BGWR', 0.5066079295154186);['deck_Squash', 'deck_GoldveinPick']
(0.10629290617848974, 'GW', 0.6570175438596492, 'UGW', 0.5507246376811594);['deck_StalwartValkyrie', 'deck_FalloftheImpostor']
(0.10590052437568143, 'GW', 0.6350267379679144, 'BGW', 0.529126213592233);['deck_ClarionSpirit', 'deck_ElderleafMentor']
(0.10520987628009071, 'GW', 0.6458797327394209, 'BGW', 0.5406698564593302);['deck_RavenWings', 'deck_SnakeskinVeil']
(0.10462519936204151, 'GR', 0.6228070175438597, 'BGR', 0.5181818181818182);['deck_FearlessPup', 'deck_TuskeriFirewalker', 'deck_DemonBolt']
