Quality;Description
(0.145935960591133, 'URG', 0.7543103448275862, 'UG', 0.6083743842364532);['deck_Flunk', 'deck_ProfessorofSymbology']
(0.12778159785544163, 'UBG', 0.6947791164658634, 'UG', 0.5669975186104218);['deck_DividebyZero', 'deck_LeylineInvocation']
(0.11984601062798184, 'URG', 0.7635467980295566, 'UR', 0.6437007874015748);['deck_Humiliate', 'deck_HuntforSpecimens']
(0.11799975017695796, 'URG', 0.6438356164383562, 'UG', 0.5258358662613982);['deck_WhirlwindDenial', 'deck_SerpentineCurve']
(0.11793737236215107, 'URG', 0.6371681415929203, 'UR', 0.5192307692307693);['deck_SuddenBreakthrough', 'deck_HeatedDebate']
(0.11486354775828456, 'URG', 0.6990740740740741, 'UG', 0.5842105263157895);['deck_Flunk', 'deck_RiseofExtus', 'deck_MageHuntersOnslaught']
(0.10787819403440913, 'WBR', 0.6889952153110048, 'WB', 0.5811170212765957);['deck_DividebyZero', 'deck_PrismariCampus', 'deck_PrismariPledgemage']
(0.1055235388542407, 'WUR', 0.6652719665271967, 'WR', 0.559748427672956);['deck_CreativeOutburst', 'deck_PrismariCampus']
(0.10456790123456794, 'URG', 0.62, 'UG', 0.5154320987654321);['deck_BeamingDefiance', 'deck_HeatedDebate']
(0.10422608244749809, 'WBR', 0.6305418719211823, 'WR', 0.5263157894736842);['deck_EurekaMoment', 'deck_WaterfallAerialist']
(0.10307197031701854, 'URG', 0.7317073170731707, 'UG', 0.6286353467561522);['deck_Flunk', 'deck_RiseofExtus', 'deck_HuntforSpecimens']
(0.10275292149357407, 'UBG', 0.6601941747572816, 'BG', 0.5574412532637075);['deck_CampusGuide', 'deck_FrostTrickster']
(0.10076702484193067, 'URG', 0.6298932384341637, 'UG', 0.529126213592233);['deck_SerpentineCurve', 'deck_PillardropWarden', 'deck_ArcaneSubtraction']
(0.09815200292374426, 'UBG', 0.7184466019417476, 'UG', 0.6202945990180033);['deck_DividebyZero', 'deck_QuandrixApprentice']
(0.09762436285593845, 'WBG', 0.6691449814126395, 'WB', 0.571520618556701);['deck_HeatedDebate', 'deck_RoothaMercurialArtist']
(0.09614140298271923, 'WBR', 0.6260869565217392, 'WB', 0.52994555353902);['deck_NeedlethornDrake', 'deck_ArchwayCommons']
(0.09490860772621201, 'UBG', 0.6339285714285714, 'UG', 0.5390199637023594);['deck_BiblioplexAssistant', 'deck_PrismariPledgemage']
(0.0940234048481472, 'UBG', 0.6378378378378379, 'UG', 0.5438144329896907);['deck_BloodAgeGeneral', 'deck_HeatedDebate']
(0.0930930930930931, 'WBR', 0.6711711711711712, 'WB', 0.5780780780780781);['deck_TorrentSculptor']
(0.09209501557632405, 'URG', 0.6962616822429907, 'UG', 0.6041666666666666);['deck_Eliminate', 'deck_Flunk']
(0.08984129830538867, 'URG', 0.631578947368421, 'UG', 0.5417376490630323);['deck_SerpentineCurve', 'deck_PillardropWarden', 'deck_ElementalMasterpiece']
(0.08899491753967426, 'UBG', 0.6774193548387096, 'UG', 0.5884244372990354);['deck_ExpressiveIteration', 'deck_ElementalMasterpiece', 'deck_PrismariPledgemage']
(0.08852384394998258, 'UBG', 0.6581920903954802, 'UG', 0.5696682464454976);['deck_ExpressiveIteration', 'deck_ElementalMasterpiece']
(0.08830166270783857, 'URG', 0.675, 'UG', 0.5866983372921615);['deck_Shock', 'deck_ElementalMasterpiece', 'deck_BuryinBooks']
(0.0871970864266704, 'URG', 0.5702479338842975, 'UG', 0.4830508474576271);['deck_OggyarBattleSeer', 'deck_PrismariPledgemage']
(0.08692290452711793, 'WBR', 0.691304347826087, 'WB', 0.604381443298969);['deck_QuandrixCultivator', 'deck_EurekaMoment']
(0.08678710258962274, 'UBG', 0.6844660194174758, 'UG', 0.597678916827853);['deck_ExpressiveIteration', 'deck_ElementalMasterpiece', 'deck_PopQuiz']
(0.08638497652582156, 'WBR', 0.6666666666666666, 'WB', 0.5802816901408451);['deck_DividebyZero', 'deck_SpectacleMage']
(0.08521339411074558, 'URG', 0.6743119266055045, 'UG', 0.589098532494759);['deck_DecisiveDenial', 'deck_NeedlethornDrake', 'deck_LeylineInvocation']
(0.08498923662858093, 'UBG', 0.6885245901639344, 'BG', 0.6035353535353535);['deck_OvergrownArch', 'deck_QuandrixCampus']
(0.08492138499871127, 'UBG', 0.6796116504854369, 'UG', 0.5946902654867257);['deck_DividebyZero', 'deck_NeedlethornDrake', 'deck_QuandrixCampus']
(0.08483297911661425, 'WBG', 0.6294642857142857, 'WB', 0.5446313065976714);['deck_PillardropRescuer', 'deck_IllustriousHistorian']
(0.0847612035292209, 'URG', 0.7136563876651982, 'UG', 0.6288951841359773);['deck_Flunk', 'deck_RiseofExtus', 'deck_SilverquillCampus']
(0.08388688426001856, 'WBG', 0.6703296703296703, 'WB', 0.5864427860696517);['deck_ArrogantPoet', 'deck_LashofMalice']
(0.08363033363033368, 'WUR', 0.684981684981685, 'WR', 0.6013513513513513);['deck_DecisiveDenial', 'deck_NeedlethornDrake']
(0.0832291383528132, 'URG', 0.6678445229681979, 'UG', 0.5846153846153846);['deck_QuandrixCultivator', 'deck_EurekaMoment', 'deck_NeedlethornDrake']
(0.08311688311688303, 'URG', 0.7, 'UG', 0.6168831168831169);['deck_Flunk', 'deck_RiseofExtus', 'deck_SilverquillPledgemage']
(0.08238936185182577, 'URG', 0.6639344262295082, 'UR', 0.5815450643776824);['deck_Eliminate', 'deck_BloodResearcher']
(0.08112611073137388, 'URG', 0.6696428571428571, 'UG', 0.5885167464114832);['deck_Shock', 'deck_ElementalMasterpiece', 'deck_PrismariPledgemage']
(0.08038720538720534, 'URG', 0.6712962962962963, 'UR', 0.5909090909090909);['deck_ReflectiveGolem', 'deck_StudyBreak', 'deck_GuidingVoice']
(0.0801291802204489, 'UBG', 0.6234817813765182, 'UG', 0.5433526011560693);['deck_SoothsayerAdept', 'deck_SerpentineCurve']
(0.08012258368694014, 'UBG', 0.6782178217821783, 'UG', 0.5980952380952381);['deck_ExpressiveIteration', 'deck_ElementalMasterpiece', 'deck_BuryinBooks']
(0.07990791458283719, 'URG', 0.6771929824561403, 'UG', 0.5972850678733032);['deck_PillardropRescuer', 'deck_Flunk']
(0.0795828172072609, 'URG', 0.6854460093896714, 'UG', 0.6058631921824105);['deck_ReflectiveGolem', 'deck_CombatProfessor', 'deck_GuidingVoice']
(0.07920805405259901, 'WBR', 0.6502463054187192, 'WB', 0.5710382513661202);['deck_WormholeSerpent', 'deck_ArcaneSubtraction']
(0.07888967468175379, 'URG', 0.6392857142857142, 'UR', 0.5603960396039604);['deck_Shock', 'deck_FrostTrickster']
(0.07885304659498216, 'URG', 0.5806451612903226, 'UG', 0.5017921146953405);['deck_BeamingDefiance', 'deck_IllustriousHistorian']
(0.0787411914036853, 'URG', 0.6417910447761194, 'UG', 0.5630498533724341);['deck_Eliminate', 'deck_ProfessorofZoomancy']
(0.07853566958698377, 'WBR', 0.6813725490196079, 'WB', 0.6028368794326241);['deck_DividebyZero', 'deck_PrismariCampus', 'deck_BuryinBooks']
(0.07823993034455867, 'UBG', 0.6729323308270677, 'UG', 0.594692400482509);['deck_DividebyZero', 'deck_ScurridColony']
(0.0781660942479655, 'WBG', 0.6213991769547325, 'WB', 0.543233082706767);['deck_PillardropRescuer', 'deck_LoreholdCampus']
(0.07815785217531945, 'URG', 0.6244541484716157, 'UG', 0.5462962962962963);['deck_AetherHelix', 'deck_PrismariCampus']
(0.07773623343229441, 'WBR', 0.6816143497757847, 'WB', 0.6038781163434903);['deck_LoreholdCommand']
(0.07771430355247555, 'WUR', 0.6447368421052632, 'WR', 0.5670225385527876);['deck_StoneboundMentor', 'deck_IllustriousHistorian']
(0.07746441888556277, 'URG', 0.6060606060606061, 'UG', 0.5285961871750433);['deck_SerpentineCurve', 'deck_PillardropWarden', 'deck_PrismariCampus']
(0.07741902731241757, 'URG', 0.6318407960199005, 'UG', 0.5544217687074829);['deck_ClosingStatement', 'deck_EssenceInfusion']
(0.07740905875191262, 'URG', 0.6616541353383458, 'UR', 0.5842450765864332);['deck_ReflectiveGolem', 'deck_StudyBreak']
(0.07731092436974796, 'URG', 0.6433823529411765, 'UG', 0.5660714285714286);['deck_SerpentineCurve', 'deck_PillardropWarden', 'deck_HeatedDebate']
(0.07729696251615681, 'URG', 0.6255924170616114, 'UG', 0.5482954545454546);['deck_WhirlwindDenial', 'deck_PopQuiz']
(0.07713092686496936, 'URG', 0.628992628992629, 'UG', 0.5518617021276596);['deck_WhirlwindDenial']
(0.07669771960411842, 'URG', 0.6198704103671706, 'UG', 0.5431726907630522);['deck_SerpentineCurve', 'deck_PillardropWarden']
(0.07667524971700812, 'URG', 0.6777251184834123, 'UG', 0.6010498687664042);['deck_DecisiveDenial', 'deck_NeedlethornDrake', 'deck_PopQuiz']
(0.07649758454106281, 'WBG', 0.6714975845410628, 'WB', 0.595);['deck_OvergrownArch', 'deck_LeylineInvocation']
(0.07631172335748948, 'WBR', 0.671280276816609, 'WR', 0.5949685534591195);['deck_ExpressiveIteration', 'deck_BuryinBooks']
(0.0760827407886232, 'URG', 0.5475113122171946, 'UR', 0.4714285714285714);['deck_OggyarBattleSeer', 'deck_PigmentStorm']
(0.07582330754207844, 'URG', 0.6283524904214559, 'UG', 0.5525291828793775);['deck_ArrogantPoet', 'deck_WitherbloomPledgemage']
(0.07480173440273197, 'UBG', 0.6396396396396397, 'BG', 0.5648379052369077);['deck_CampusGuide', 'deck_ArcaneSubtraction']
(0.07459827406635922, 'URG', 0.6783216783216783, 'UG', 0.6037234042553191);['deck_Eliminate', 'deck_WitherbloomPledgemage']
(0.07459432048681547, 'URG', 0.6823529411764706, 'UR', 0.6077586206896551);['deck_Humiliate', 'deck_MageHuntersOnslaught']
(0.07458175785945986, 'URG', 0.6652719665271967, 'UG', 0.5906902086677368);['deck_QuandrixCultivator', 'deck_EurekaMoment', 'deck_LeylineInvocation']
(0.0744535519125683, 'URG', 0.6666666666666666, 'UG', 0.5922131147540983);['deck_DecisiveDenial', 'deck_DividebyZero']
