Quality;Description
(0.24335664335664337, '4-2-3-1', -0.01818181818181818, '4-4-1-1', -0.26153846153846155);['DeAndreYedlin==1']
(0.20291777188328913, '4-2-3-1', -0.038461538461538464, '4-4-1-1', -0.2413793103448276);['DeAndreYedlin==1', 'JamalLascelles==1']
(0.20291777188328913, '4-2-3-1', -0.038461538461538464, '4-4-1-1', -0.2413793103448276);['JamalLascelles==1', 'DeAndreYedlin==1']
(0.16839199447895098, '4-2-3-1', -0.10144927536231885, '4-4-1-1', -0.2698412698412698);['JamalLascelles==1']
(0.11986681465038847, '4-2-3-1', -0.05660377358490566, '4-4-1-1', -0.17647058823529413);['DeAndreYedlin==1', 'MattRitchie==1']
(0.11986681465038847, '4-2-3-1', -0.05660377358490566, '4-4-1-1', -0.17647058823529413);['MattRitchie==1', 'DeAndreYedlin==1']
(0.11684210526315789, '4-2-3-1', 0.23684210526315788, '4-3-3', 0.12);['JordanPickford==1']
(0.05913978494623656, '4-2-3-1', -0.16666666666666666, '4-4-1-1', -0.22580645161290322);['AyozePérezGutiérrez==1']
(0.05552560646900269, '4-2-3-1', -0.11428571428571428, '4-4-1-1', -0.16981132075471697);['MattRitchie==1']
(0.042142230026338906, '4-2-3-1', -0.13432835820895522, '4-4-1-1', -0.17647058823529413);['JamalLascelles==1', 'MattRitchie==1']
(0.042142230026338906, '4-2-3-1', -0.13432835820895522, '4-4-1-1', -0.17647058823529413);['MattRitchie==1', 'JamalLascelles==1']
(0.027356526910496587, '4-2-3-1', -0.19298245614035087, '4-4-1-1', -0.22033898305084745);['JamalLascelles==1', 'AyozePérezGutiérrez==1']
(0.027356526910496587, '4-2-3-1', -0.19298245614035087, '4-4-1-1', -0.22033898305084745);['AyozePérezGutiérrez==1', 'JamalLascelles==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'MartinDúbravka==1', 'PaulDummett==1', 'MohamedDiamé==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'MartinDúbravka==1', 'PaulDummett==1', 'FlorianLejeune==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'MartinDúbravka==1', 'MohamedDiamé==1', 'PaulDummett==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'MartinDúbravka==1', 'MohamedDiamé==1', 'FlorianLejeune==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'MartinDúbravka==1', 'FlorianLejeune==1', 'PaulDummett==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'MartinDúbravka==1', 'FlorianLejeune==1', 'MohamedDiamé==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'MartinDúbravka==1', 'MohamedDiamé==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'MartinDúbravka==1', 'FlorianLejeune==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'DwightGayle==1', 'MattRitchie==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'DwightGayle==1', 'MohamedDiamé==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'JonjoShelvey==1', 'MattRitchie==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'JonjoShelvey==1', 'AyozePérezGutiérrez==1']
(0, '-', 0, '-', 0);['DeAndreYedlin==1', 'JamalLascelles==1', 'PaulDummett==1', 'JonjoShelvey==1', 'MohamedDiamé==1']
