Quality;Description
(0.5895187165775402, '4-3-3', 0.52, '4-2-3-1', -0.06951871657754011);['AndréMartínCarrilloDíaz==1', 'AbdoulayeDoucouré==1']
(0.5895187165775402, '4-3-3', 0.52, '4-2-3-1', -0.06951871657754011);['AbdoulayeDoucouré==1', 'AndréMartínCarrilloDíaz==1']
(0.577560975609756, '3-4-2-1', 0.0975609756097561, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1']
(0.577560975609756, '3-4-2-1', 0.0975609756097561, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1']
(0.577560975609756, '3-4-2-1', 0.0975609756097561, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1']
(0.577560975609756, '3-4-2-1', 0.0975609756097561, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1', 'KurtHappyZouma==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'JoeAllen==1', 'KurtHappyZouma==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['JoeAllen==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JoeAllen==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['JoeAllen==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JoeAllen==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'JoeAllen==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JoeAllen==1', 'JeanEricMaximChoupoMoting==1']
(0.5743396226415094, '3-4-2-1', 0.09433962264150944, '4-2-3-1', -0.48);['JoeAllen==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1']
(0.5676190476190477, '4-3-3', 0.52, '4-2-3-1', -0.047619047619047616);['AndréMartínCarrilloDíaz==1']
(0.5612360827084754, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.07975460122699386);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1']
(0.5612360827084754, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.07975460122699386);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'AbdoulayeDoucouré==1']
(0.5612360827084754, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.07975460122699386);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1']
(0.5612360827084754, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.07975460122699386);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'HeurelhodaSilvaGomes==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1', 'RicharlisondeAndrade==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'RicharlisondeAndrade==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1', 'RicharlisondeAndrade==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'RicharlisondeAndrade==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'RicharlisondeAndrade==1', 'AbdoulayeDoucouré==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'RicharlisondeAndrade==1', 'AbdoulayeDoucouré==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['ChristianKabasele==1', 'RicharlisondeAndrade==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'RicharlisondeAndrade==1', 'HeurelhodaSilvaGomes==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'RicharlisondeAndrade==1', 'HeurelhodaSilvaGomes==1']
(0.5593784683684795, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.06918238993710692);['ChristianKabasele==1', 'RicharlisondeAndrade==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1']
(0.5590994371482176, '3-4-2-1', 0.0975609756097561, '4-2-3-1', -0.46153846153846156);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1']
(0.5590994371482176, '3-4-2-1', 0.0975609756097561, '4-2-3-1', -0.46153846153846156);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1', 'AbdoulayeDoucouré==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'TomCleverley==1', 'AbdoulayeDoucouré==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['ChristianKabasele==1', 'TomCleverley==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1', 'HeurelhodaSilvaGomes==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'TomCleverley==1', 'HeurelhodaSilvaGomes==1']
(0.5491506544138123, '4-3-3', 0.48148148148148145, '4-2-3-1', -0.06766917293233082);['ChristianKabasele==1', 'TomCleverley==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'KurtHappyZouma==1', 'JackButland==1', 'JeanEricMaximChoupoMoting==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['KurtHappyZouma==1', 'MameBiramDiouf==1', 'JackButland==1', 'JeanEricMaximChoupoMoting==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JackButland==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['JackButland==1', 'MameBiramDiouf==1', 'KurtHappyZouma==1', 'JeanEricMaximChoupoMoting==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1', 'KurtHappyZouma==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'JackButland==1', 'KurtHappyZouma==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['MameBiramDiouf==1', 'JackButland==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1']
(0.544516129032258, '3-4-2-1', 0.06451612903225806, '4-2-3-1', -0.48);['JackButland==1', 'MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'KurtHappyZouma==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1', 'RicharlisondeAndrade==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'RicharlisondeAndrade==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1', 'RicharlisondeAndrade==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'RicharlisondeAndrade==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'RicharlisondeAndrade==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['HeurelhodaSilvaGomes==1', 'ChristianKabasele==1', 'RicharlisondeAndrade==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'RicharlisondeAndrade==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'AbdoulayeDoucouré==1', 'RicharlisondeAndrade==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['AbdoulayeDoucouré==1', 'ChristianKabasele==1', 'RicharlisondeAndrade==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'RicharlisondeAndrade==1', 'AbdoulayeDoucouré==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1']
(0.5444596443228454, '4-3-3', 0.49019607843137253, '4-2-3-1', -0.05426356589147287);['ChristianKabasele==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1', 'RicharlisondeAndrade==1']
