Quality;Description
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'AdrianMariappa==1', 'JoséHolebas==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'AdrianMariappa==1', 'JoséHolebas==1', 'CraigCathcart==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'AdrianMariappa==1', 'AbdoulayeDoucouré==1', 'JoséHolebas==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'AdrianMariappa==1', 'AbdoulayeDoucouré==1', 'CraigCathcart==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'AdrianMariappa==1', 'CraigCathcart==1', 'JoséHolebas==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'AdrianMariappa==1', 'CraigCathcart==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'AdrianMariappa==1', 'WillHughes==1', 'JoséHolebas==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'AdrianMariappa==1', 'WillHughes==1', 'JoséHolebas==1', 'CraigCathcart==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'AdrianMariappa==1', 'WillHughes==1', 'AbdoulayeDoucouré==1', 'JoséHolebas==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'AdrianMariappa==1', 'WillHughes==1', 'AbdoulayeDoucouré==1', 'CraigCathcart==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'AdrianMariappa==1', 'WillHughes==1', 'CraigCathcart==1', 'JoséHolebas==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'AdrianMariappa==1', 'WillHughes==1', 'CraigCathcart==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['AdrianMariappa==1', 'RicharlisondeAndrade==1', 'WillHughes==1', 'JoséHolebas==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['AdrianMariappa==1', 'RicharlisondeAndrade==1', 'WillHughes==1', 'JoséHolebas==1', 'CraigCathcart==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['AdrianMariappa==1', 'RicharlisondeAndrade==1', 'WillHughes==1', 'AbdoulayeDoucouré==1', 'JoséHolebas==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['AdrianMariappa==1', 'RicharlisondeAndrade==1', 'WillHughes==1', 'AbdoulayeDoucouré==1', 'CraigCathcart==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['AdrianMariappa==1', 'RicharlisondeAndrade==1', 'WillHughes==1', 'CraigCathcart==1', 'JoséHolebas==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['AdrianMariappa==1', 'RicharlisondeAndrade==1', 'WillHughes==1', 'CraigCathcart==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'JoséHolebas==1', 'AdrianMariappa==1', 'AbdoulayeDoucouré==1']
(0.7983870967741935, '4-1-4-1', 0.25, '4-4-2', -0.5483870967741935);['RicharlisondeAndrade==1', 'WillHughes==1', 'JoséHolebas==1', 'AdrianMariappa==1', 'CraigCathcart==1']
