Quality;Description
(0.5556287030941409, '4-3-3', 0.2653061224489796, '4-2-3-1', -0.2903225806451613);['VirgilvanDijk==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['JonjoShelvey==1', 'DeAndreYedlin==1', 'JamalLascelles==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['DeAndreYedlin==1', 'JonjoShelvey==1', 'JamalLascelles==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['JonjoShelvey==1', 'JamalLascelles==1', 'DeAndreYedlin==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['JamalLascelles==1', 'JonjoShelvey==1', 'DeAndreYedlin==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['DeAndreYedlin==1', 'JamalLascelles==1', 'JonjoShelvey==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['JamalLascelles==1', 'DeAndreYedlin==1', 'JonjoShelvey==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['JonjoShelvey==1', 'DeAndreYedlin==1']
(0.37977296181630543, '4-2-3-1', -0.22807017543859648, '4-4-1-1', -0.6078431372549019);['DeAndreYedlin==1', 'JonjoShelvey==1']
(0.3695324283559578, '4-2-3-1', 0.15384615384615385, '4-3-3', -0.21568627450980393);['JordanPickford==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'MattRitchie==1', 'AyozePérezGutiérrez==1', 'JamalLascelles==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['MattRitchie==1', 'JonjoShelvey==1', 'AyozePérezGutiérrez==1', 'JamalLascelles==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'AyozePérezGutiérrez==1', 'MattRitchie==1', 'JamalLascelles==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['AyozePérezGutiérrez==1', 'JonjoShelvey==1', 'MattRitchie==1', 'JamalLascelles==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['MattRitchie==1', 'AyozePérezGutiérrez==1', 'JonjoShelvey==1', 'JamalLascelles==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['AyozePérezGutiérrez==1', 'MattRitchie==1', 'JonjoShelvey==1', 'JamalLascelles==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'MattRitchie==1', 'JamalLascelles==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['MattRitchie==1', 'JonjoShelvey==1', 'JamalLascelles==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'JamalLascelles==1', 'MattRitchie==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JamalLascelles==1', 'JonjoShelvey==1', 'MattRitchie==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['MattRitchie==1', 'JamalLascelles==1', 'JonjoShelvey==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JamalLascelles==1', 'MattRitchie==1', 'JonjoShelvey==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'AyozePérezGutiérrez==1', 'JamalLascelles==1', 'MattRitchie==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['AyozePérezGutiérrez==1', 'JonjoShelvey==1', 'JamalLascelles==1', 'MattRitchie==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'JamalLascelles==1', 'AyozePérezGutiérrez==1', 'MattRitchie==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JamalLascelles==1', 'JonjoShelvey==1', 'AyozePérezGutiérrez==1', 'MattRitchie==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'MattRitchie==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['MattRitchie==1', 'JonjoShelvey==1', 'AyozePérezGutiérrez==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['JonjoShelvey==1', 'AyozePérezGutiérrez==1', 'MattRitchie==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['AyozePérezGutiérrez==1', 'JonjoShelvey==1', 'MattRitchie==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['MattRitchie==1', 'AyozePérezGutiérrez==1', 'JonjoShelvey==1']
(0.36666666666666664, '4-2-3-1', -0.23333333333333334, '4-4-1-1', -0.6);['AyozePérezGutiérrez==1', 'MattRitchie==1', 'JonjoShelvey==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['JonjoShelvey==1', 'MattRitchie==1', 'JamalLascelles==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['MattRitchie==1', 'JonjoShelvey==1', 'JamalLascelles==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['JonjoShelvey==1', 'JamalLascelles==1', 'MattRitchie==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['JamalLascelles==1', 'JonjoShelvey==1', 'MattRitchie==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['MattRitchie==1', 'JamalLascelles==1', 'JonjoShelvey==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['JamalLascelles==1', 'MattRitchie==1', 'JonjoShelvey==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['JonjoShelvey==1', 'MattRitchie==1']
(0.3426573426573427, '4-2-3-1', -0.2727272727272727, '4-4-1-1', -0.6153846153846154);['MattRitchie==1', 'JonjoShelvey==1']
(0.34249471458773784, '3-5-1-1', 0.2727272727272727, '3-4-2-1', -0.06976744186046512);['ÁlvaroBorjaMorataMartín==1', 'CésarAzpilicuetaTanco==1']
(0.34249471458773784, '3-5-1-1', 0.2727272727272727, '3-4-2-1', -0.06976744186046512);['CésarAzpilicuetaTanco==1', 'ÁlvaroBorjaMorataMartín==1']
