Quality;Description
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'AsmirBegović==1', 'DanGosling==1', 'NathanAké==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'AsmirBegović==1', 'DanGosling==1', 'SteveCook==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'AsmirBegović==1', 'NathanAké==1', 'DanGosling==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'AsmirBegović==1', 'NathanAké==1', 'SteveCook==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'AsmirBegović==1', 'SteveCook==1', 'DanGosling==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'AsmirBegović==1', 'SteveCook==1', 'NathanAké==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'DanGosling==1', 'AsmirBegović==1', 'NathanAké==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'DanGosling==1', 'AsmirBegović==1', 'SteveCook==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'DanGosling==1', 'NathanAké==1', 'AsmirBegović==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'DanGosling==1', 'NathanAké==1', 'SteveCook==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'DanGosling==1', 'SteveCook==1', 'AsmirBegović==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'DanGosling==1', 'SteveCook==1', 'NathanAké==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'NathanAké==1', 'AsmirBegović==1', 'DanGosling==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'NathanAké==1', 'AsmirBegović==1', 'SteveCook==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'NathanAké==1', 'DanGosling==1', 'AsmirBegović==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'NathanAké==1', 'DanGosling==1', 'SteveCook==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'NathanAké==1', 'SteveCook==1', 'AsmirBegović==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'NathanAké==1', 'SteveCook==1', 'DanGosling==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'SteveCook==1', 'AsmirBegović==1', 'DanGosling==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'SteveCook==1', 'AsmirBegović==1', 'NathanAké==1']
(0.9054758800521512, '5-3-2', 0.34615384615384615, '3-4-2-1', -0.559322033898305);['AndrewSurman==1', 'AdamSmith==1', 'SteveCook==1', 'DanGosling==1', 'AsmirBegović==1']
