Quality;Description
(0, '-', 0, '-', 0);['DeclanRice==1', 'MarkNoble==1', 'PabloJavierZabaletaGirod==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'MarkNoble==1', 'AngeloObinzeOgbonna==1', 'PabloJavierZabaletaGirod==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'MarkNoble==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'AaronCresswell==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'AngeloObinzeOgbonna==1', 'MarkNoble==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'AngeloObinzeOgbonna==1', 'AaronCresswell==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AaronCresswell==1', 'PabloJavierZabaletaGirod==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AaronCresswell==1', 'AngeloObinzeOgbonna==1', 'PabloJavierZabaletaGirod==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AngeloObinzeOgbonna==1', 'MarkNoble==1', 'PabloJavierZabaletaGirod==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AngeloObinzeOgbonna==1', 'PabloJavierZabaletaGirod==1', 'MarkNoble==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AngeloObinzeOgbonna==1', 'PabloJavierZabaletaGirod==1', 'AaronCresswell==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AngeloObinzeOgbonna==1', 'AaronCresswell==1', 'PabloJavierZabaletaGirod==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'RobertoFirminoBarbosadeOliveira==1', 'MohamedSalahGhaly==1', 'AndrewRobertson==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'RobertoFirminoBarbosadeOliveira==1', 'AndrewRobertson==1', 'MohamedSalahGhaly==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'MohamedSalahGhaly==1', 'RobertoFirminoBarbosadeOliveira==1', 'AndrewRobertson==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'MohamedSalahGhaly==1', 'AndrewRobertson==1', 'RobertoFirminoBarbosadeOliveira==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'AndrewRobertson==1', 'RobertoFirminoBarbosadeOliveira==1', 'MohamedSalahGhaly==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'AndrewRobertson==1', 'MohamedSalahGhaly==1', 'RobertoFirminoBarbosadeOliveira==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'HéctorBellerínMoruno==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'PetrČech==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'PetrČech==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'SeadKolašinac==1', 'PetrČech==1']
