Quality;Description
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'ŁukaszFabiański==1', 'AlfieMawson==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'ŁukaszFabiański==1', 'JordanAyew==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'AlfieMawson==1', 'ŁukaszFabiański==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'AlfieMawson==1', 'JordanAyew==1', 'ŁukaszFabiański==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'JordanAyew==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['ŁukaszFabiański==1', 'TomCarroll==1', 'AlfieMawson==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['ŁukaszFabiański==1', 'TomCarroll==1', 'JordanAyew==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['AlfieMawson==1', 'TomCarroll==1', 'ŁukaszFabiański==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['AlfieMawson==1', 'TomCarroll==1', 'JordanAyew==1', 'ŁukaszFabiański==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['JordanAyew==1', 'TomCarroll==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['JordanAyew==1', 'TomCarroll==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['ŁukaszFabiański==1', 'AlfieMawson==1', 'TomCarroll==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['ŁukaszFabiański==1', 'JordanAyew==1', 'TomCarroll==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['AlfieMawson==1', 'ŁukaszFabiański==1', 'TomCarroll==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['AlfieMawson==1', 'JordanAyew==1', 'TomCarroll==1', 'ŁukaszFabiański==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['JordanAyew==1', 'ŁukaszFabiański==1', 'TomCarroll==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['JordanAyew==1', 'AlfieMawson==1', 'TomCarroll==1', 'ŁukaszFabiański==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['ŁukaszFabiański==1', 'AlfieMawson==1', 'JordanAyew==1', 'TomCarroll==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['ŁukaszFabiański==1', 'JordanAyew==1', 'AlfieMawson==1', 'TomCarroll==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['AlfieMawson==1', 'ŁukaszFabiański==1', 'JordanAyew==1', 'TomCarroll==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['AlfieMawson==1', 'JordanAyew==1', 'ŁukaszFabiański==1', 'TomCarroll==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['JordanAyew==1', 'ŁukaszFabiański==1', 'AlfieMawson==1', 'TomCarroll==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1', 'TomCarroll==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'ŁukaszFabiański==1', 'JordanAyew==1']
(0.8649251353934373, '4-4-2', 0.2602739726027397, '4-3-1-2', -0.6046511627906976);['TomCarroll==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
