Quality;Description
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'DavinsonSánchezMina==1', 'HarryKane==1', 'BamideleAlli==1', 'HugoLloris==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'DavinsonSánchezMina==1', 'HarryKane==1', 'HugoLloris==1', 'BamideleAlli==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'HarryKane==1', 'DavinsonSánchezMina==1', 'BamideleAlli==1', 'HugoLloris==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'HarryKane==1', 'DavinsonSánchezMina==1', 'HugoLloris==1', 'BamideleAlli==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'DavinsonSánchezMina==1', 'HarryKane==1', 'BamideleAlli==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'DavinsonSánchezMina==1', 'HarryKane==1', 'HugoLloris==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'HarryKane==1', 'DavinsonSánchezMina==1', 'BamideleAlli==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'HarryKane==1', 'DavinsonSánchezMina==1', 'HugoLloris==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'DavinsonSánchezMina==1', 'HarryKane==1']
(0.6584107327141382, '4-2-3-1', 0.40350877192982454, '3-5-2', -0.2549019607843137);['TobyAlderweireld==1', 'HarryKane==1', 'DavinsonSánchezMina==1']
(0.6442577030812324, '4-3-3', 0.42857142857142855, '4-2-3-1', -0.21568627450980393);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1', 'JackButland==1']
(0.6442577030812324, '4-3-3', 0.42857142857142855, '4-2-3-1', -0.21568627450980393);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1', 'JackButland==1']
(0.6442577030812324, '4-3-3', 0.42857142857142855, '4-2-3-1', -0.21568627450980393);['MameBiramDiouf==1', 'JeanEricMaximChoupoMoting==1']
(0.6442577030812324, '4-3-3', 0.42857142857142855, '4-2-3-1', -0.21568627450980393);['JeanEricMaximChoupoMoting==1', 'MameBiramDiouf==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'PhilipBilling==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'PhilipBilling==1', 'ChristopherSchindler==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'PhilipBilling==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'PhilipBilling==1', 'JonasLössl==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'PhilipBilling==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'PhilipBilling==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'ChristopherSchindler==1', 'PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'ChristopherSchindler==1', 'PhilipBilling==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'JonasLössl==1', 'PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['LaurentDepoitre==1', 'JonasLössl==1', 'PhilipBilling==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'PhilipBilling==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'PhilipBilling==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['ChristopherSchindler==1', 'LaurentDepoitre==1', 'PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['ChristopherSchindler==1', 'LaurentDepoitre==1', 'PhilipBilling==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'MathiasJattahNjieJørgensen==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'ChristopherSchindler==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['PhilipBilling==1', 'JonasLössl==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'MathiasJattahNjieJørgensen==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['MathiasJattahNjieJørgensen==1', 'PhilipBilling==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1', 'JonasLössl==1']
(0.6391108891108891, '4-2-3-1', 0.25274725274725274, '5-3-2', -0.38636363636363635);['MathiasJattahNjieJørgensen==1', 'PhilipBilling==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'ChristopherSchindler==1']
