Quality;Description
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JavierManquilloGaitán==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'MohamedDiamé==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'MohamedDiamé==1', 'RobElliot==1', 'JavierManquilloGaitán==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'RobElliot==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'RobElliot==1', 'JacobMurphy==1', 'JavierManquilloGaitán==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['RobElliot==1', 'MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['RobElliot==1', 'MohamedDiamé==1', 'JacobMurphy==1', 'JavierManquilloGaitán==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['RobElliot==1', 'JacobMurphy==1', 'MohamedDiamé==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['RobElliot==1', 'JacobMurphy==1', 'MohamedDiamé==1', 'JavierManquilloGaitán==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'RobElliot==1', 'MohamedDiamé==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'RobElliot==1', 'MohamedDiamé==1', 'JavierManquilloGaitán==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1', 'RobElliot==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'MohamedDiamé==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1', 'RobElliot==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'MohamedDiamé==1', 'DeAndreYedlin==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'DeAndreYedlin==1', 'JacobMurphy==1', 'JavierManquilloGaitán==1', 'RobElliot==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'DeAndreYedlin==1', 'JacobMurphy==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['DeAndreYedlin==1', 'MohamedDiamé==1', 'JacobMurphy==1', 'JavierManquilloGaitán==1', 'RobElliot==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['DeAndreYedlin==1', 'MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'DeAndreYedlin==1', 'MohamedDiamé==1', 'JavierManquilloGaitán==1', 'RobElliot==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['JacobMurphy==1', 'DeAndreYedlin==1', 'MohamedDiamé==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['DeAndreYedlin==1', 'JacobMurphy==1', 'MohamedDiamé==1', 'JavierManquilloGaitán==1', 'RobElliot==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['DeAndreYedlin==1', 'JacobMurphy==1', 'MohamedDiamé==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
