Quality;Description
(0.6652037617554858, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'XherdanShaqiri==1', 'ErikPieters==1']
(0.6652037617554858, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'XherdanShaqiri==1', 'JoeAllen==1']
(0.6652037617554858, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'XherdanShaqiri==1']
(0.6258642765685019, '3-4-2-1', 0.09859154929577464, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'ErikPieters==1', 'JoeAllen==1']
(0.6258642765685019, '3-4-2-1', 0.09859154929577464, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'ErikPieters==1']
(0.6106060606060606, '3-4-2-1', 0.08333333333333333, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.6106060606060606, '3-4-2-1', 0.08333333333333333, '4-4-2', -0.5272727272727272);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1']
(0.5745507527926177, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.43661971830985913);['JackButland==1', 'RyanShawcross==1', 'XherdanShaqiri==1', 'ErikPieters==1', 'JoeAllen==1']
(0.5745507527926177, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.43661971830985913);['JackButland==1', 'RyanShawcross==1', 'XherdanShaqiri==1', 'ErikPieters==1']
(0.5686274509803921, '3-4-2-1', 0.0, '4-4-2', -0.5686274509803921);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'ErikPieters==1', 'MameBiramDiouf==1']
(0.5665024630541872, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.42857142857142855);['JackButland==1', 'RyanShawcross==1', 'XherdanShaqiri==1', 'JoeAllen==1']
(0.5665024630541872, '3-4-2-1', 0.13793103448275862, '4-4-2', -0.42857142857142855);['JackButland==1', 'RyanShawcross==1', 'XherdanShaqiri==1']
(0.5629870129870129, '4-3-3', 0.03571428571428571, '4-4-2', -0.5272727272727272);['RyanShawcross==1', 'JoeAllen==1', 'KurtHappyZouma==1', 'XherdanShaqiri==1']
(0.5566037735849056, '4-2-3-1', 0.5, '3-4-2-1', -0.05660377358490566);['CalumChambers==1']
(0.5541463414634147, '4-4-1-1', -0.08, '3-5-2', -0.6341463414634146);['JakeLivermore==1', 'JoséSalomónRondónGiménez==1', 'AllanRomeoNyom==1', 'AhmedHegazy==1', 'BenFoster==1']
(0.5541463414634147, '4-4-1-1', -0.08, '3-5-2', -0.6341463414634146);['JakeLivermore==1', 'JoséSalomónRondónGiménez==1', 'AllanRomeoNyom==1', 'AhmedHegazy==1']
(0.5541463414634147, '4-4-1-1', -0.08, '3-5-2', -0.6341463414634146);['JakeLivermore==1', 'JoséSalomónRondónGiménez==1', 'AllanRomeoNyom==1', 'BenFoster==1']
(0.5541463414634147, '4-4-1-1', -0.08, '3-5-2', -0.6341463414634146);['JakeLivermore==1', 'JoséSalomónRondónGiménez==1', 'AllanRomeoNyom==1']
(0.5527544351073763, '3-4-2-1', -0.015873015873015872, '4-4-2', -0.5686274509803921);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'JoeAllen==1', 'MameBiramDiouf==1']
(0.5527544351073763, '3-4-2-1', -0.015873015873015872, '4-4-2', -0.5686274509803921);['JackButland==1', 'RyanShawcross==1', 'KurtHappyZouma==1', 'MameBiramDiouf==1']
