Quality;Description
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JamesMcArthur==1', 'TimothyFosuMensah==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JamesMcArthur==1', 'JoelWard==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JamesMcArthur==1', 'WayneHennessey==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JamesMcArthur==1', 'AndrosTownsend==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JamesMcArthur==1', 'ChristianBentekeLiolo==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'TimothyFosuMensah==1', 'JoelWard==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'TimothyFosuMensah==1', 'WayneHennessey==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'TimothyFosuMensah==1', 'AndrosTownsend==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'TimothyFosuMensah==1', 'ChristianBentekeLiolo==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JoelWard==1', 'WayneHennessey==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JoelWard==1', 'AndrosTownsend==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'JoelWard==1', 'ChristianBentekeLiolo==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'WayneHennessey==1', 'AndrosTownsend==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'WayneHennessey==1', 'ChristianBentekeLiolo==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'ScottDann==1', 'AndrosTownsend==1', 'ChristianBentekeLiolo==1']
(0.16766169154228855, '3-5-2', 0.13432835820895522, '4-3-3', -0.03333333333333333);['ChungYongLee==1', 'JasonPuncheon==1', 'JamesMcArthur==1', 'TimothyFosuMensah==1', 'JoelWard==1']
