Quality;Description
(1.6016528925619835, '4-2-3-1', 0.8, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'MarioLemina==1', 'VirgilvanDijk==1']
(1.6016528925619835, '4-2-3-1', 0.8, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'MarioLemina==1', 'FraserForster==1']
(1.6016528925619835, '4-2-3-1', 0.8, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'MarioLemina==1', 'MayaYoshida==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'MarioLemina==1', 'RyanBertrand==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'RyanBertrand==1', 'VirgilvanDijk==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'RyanBertrand==1', 'FraserForster==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'RyanBertrand==1', 'MayaYoshida==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'VirgilvanDijk==1', 'FraserForster==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'VirgilvanDijk==1', 'MayaYoshida==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'NathanRedmond==1', 'FraserForster==1', 'MayaYoshida==1']
(1.5257908235964663, '4-1-2-1-2', 0.7241379310344828, '5-4-1', -0.8016528925619835);['SofianeBoufal==1', 'CédricRicardoAlvesSoares==1', 'MarioLemina==1', 'RyanBertrand==1', 'VirgilvanDijk==1']
