Quality;Description
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'ŁukaszFabiański==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'AlfieMawson==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'ŁukaszFabiański==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1', 'AlfieMawson==1']
(0.9666182873730043, '3-5-2', 0.7358490566037735, '4-3-3', -0.23076923076923078);['SamClucas==1', 'TammyAbraham==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'ŁukaszFabiański==1', 'KyleNaughton==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'AlfieMawson==1', 'KyleNaughton==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'ŁukaszFabiański==1', 'AlfieMawson==1', 'KyleNaughton==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'KyleNaughton==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'ŁukaszFabiański==1', 'KyleNaughton==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'AlfieMawson==1', 'KyleNaughton==1']
(0.9358490566037736, '3-5-2', 0.7358490566037735, '4-3-3', -0.2);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'FedericoFernández==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'FedericoFernández==1', 'ŁukaszFabiański==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'FedericoFernández==1', 'AlfieMawson==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'FedericoFernández==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'ŁukaszFabiański==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1', 'AlfieMawson==1']
(0.8801992528019925, '3-5-2', 0.6438356164383562, '4-3-3', -0.23636363636363636);['SamClucas==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'FedericoFernández==1', 'ŁukaszFabiański==1', 'KyleNaughton==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'FedericoFernández==1', 'AlfieMawson==1', 'KyleNaughton==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'ŁukaszFabiański==1', 'AlfieMawson==1', 'KyleNaughton==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'FedericoFernández==1', 'KyleNaughton==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'ŁukaszFabiański==1', 'KyleNaughton==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'AlfieMawson==1', 'KyleNaughton==1']
(0.8361185983827493, '3-5-2', 0.6285714285714286, '4-3-3', -0.20754716981132076);['SamClucas==1', 'KyleNaughton==1']
(0.8311048557353975, '3-5-2', 0.5862068965517241, '4-3-3', -0.24489795918367346);['TammyAbraham==1', 'FedericoFernández==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
