Quality;Description
(0.2545155993431856, '4-3-3', 0.047619047619047616, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'AndreGray==1', 'HeurelhodaSilvaGomes==1']
(0.2545155993431856, '4-3-3', 0.047619047619047616, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'AndreGray==1', 'AbdoulayeDoucouré==1']
(0.2545155993431856, '4-3-3', 0.047619047619047616, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'AndreGray==1', 'TomCleverley==1']
(0.2545155993431856, '4-3-3', 0.047619047619047616, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'AndreGray==1']
(0.23957629028622943, '4-3-3', 0.032679738562091505, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'HeurelhodaSilvaGomes==1', 'AbdoulayeDoucouré==1']
(0.23957629028622943, '4-3-3', 0.032679738562091505, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'HeurelhodaSilvaGomes==1', 'TomCleverley==1']
(0.23957629028622943, '4-3-3', 0.032679738562091505, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'AbdoulayeDoucouré==1', 'TomCleverley==1']
(0.23957629028622943, '4-3-3', 0.032679738562091505, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'HeurelhodaSilvaGomes==1']
(0.23957629028622943, '4-3-3', 0.032679738562091505, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'AbdoulayeDoucouré==1']
(0.23957629028622943, '4-3-3', 0.032679738562091505, '4-2-3-1', -0.20689655172413793);['NathanielChalobah==1', 'FranciscoFemeníaFar==1', 'JoséHolebas==1', 'TomCleverley==1']
