Quality;Description
(0.6672268907563026, '4-2-3-1', 0.3142857142857143, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'AlexMcCarthy==1', 'RyanBertrand==1', 'OriolRomeuVidal==1']
(0.6672268907563026, '4-2-3-1', 0.3142857142857143, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'AlexMcCarthy==1', 'RyanBertrand==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1', 'NathanAké==1', 'CharlieDaniels==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1', 'NathanAké==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1', 'CharlieDaniels==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'NathanAké==1', 'CharlieDaniels==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1', 'NathanAké==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1', 'CharlieDaniels==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'NathanAké==1', 'CharlieDaniels==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'NathanAké==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'CharlieDaniels==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'AsmirBegović==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'NathanAké==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'CharlieDaniels==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1', 'SteveCook==1']
(0.6268540202966433, '3-4-3', 0.38095238095238093, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'DanGosling==1']
(0.6151515151515152, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.23333333333333334);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'CraigDawson==1', 'BenFoster==1', 'AhmedHegazy==1']
(0.6151515151515152, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.23333333333333334);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'CraigDawson==1', 'BenFoster==1']
(0.6151515151515152, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.23333333333333334);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'CraigDawson==1', 'AhmedHegazy==1']
(0.6151515151515152, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.23333333333333334);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'CraigDawson==1']
(0.5918792295679334, '4-2-3-1', 0.23893805309734514, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'AlexMcCarthy==1', 'OriolRomeuVidal==1']
(0.5918792295679334, '4-2-3-1', 0.23893805309734514, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'AlexMcCarthy==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'CédricRicardoAlvesSoares==1', 'MarioLemina==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'CédricRicardoAlvesSoares==1', 'MarioLemina==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'CédricRicardoAlvesSoares==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['CédricRicardoAlvesSoares==1', 'MarioLemina==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'CédricRicardoAlvesSoares==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['CédricRicardoAlvesSoares==1', 'MarioLemina==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['CédricRicardoAlvesSoares==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'RyanBertrand==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MayaYoshida==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['CédricRicardoAlvesSoares==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['MarioLemina==1']
(0.5862745098039216, '4-1-2-1-2', 0.23333333333333334, '3-4-3', -0.35294117647058826);['RyanBertrand==1']
(0.5818181818181818, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.2);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'BenFoster==1', 'AhmedHegazy==1']
(0.5818181818181818, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.2);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'BenFoster==1']
(0.5818181818181818, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.2);['GrzegorzKrychowiak==1', 'JayRodriguez==1', 'AhmedHegazy==1']
(0.5818181818181818, '4-4-1-1', 0.38181818181818183, '4-5-1', -0.2);['GrzegorzKrychowiak==1', 'JayRodriguez==1']
(0.5695399259650978, '4-2-3-1', 0.25806451612903225, '3-4-3', -0.3114754098360656);['MayaYoshida==1', 'AlexMcCarthy==1', 'RyanBertrand==1', 'OriolRomeuVidal==1', 'DušanTadić==1']
(0.5695399259650978, '4-2-3-1', 0.25806451612903225, '3-4-3', -0.3114754098360656);['MayaYoshida==1', 'AlexMcCarthy==1', 'RyanBertrand==1', 'DušanTadić==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1', 'RyanBertrand==1', 'WesleyHoedt==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1', 'RyanBertrand==1', 'OriolRomeuVidal==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1', 'WesleyHoedt==1', 'OriolRomeuVidal==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'RyanBertrand==1', 'WesleyHoedt==1', 'OriolRomeuVidal==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1', 'WesleyHoedt==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MayaYoshida==1', 'MarioLemina==1', 'OriolRomeuVidal==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'RyanBertrand==1', 'WesleyHoedt==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'RyanBertrand==1', 'OriolRomeuVidal==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'WesleyHoedt==1', 'OriolRomeuVidal==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'WesleyHoedt==1']
(0.5660559305689489, '3-4-2-1', 0.21311475409836064, '3-4-3', -0.35294117647058826);['MarioLemina==1', 'OriolRomeuVidal==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'AsmirBegović==1', 'NathanAké==1', 'CharlieDaniels==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'AsmirBegović==1', 'NathanAké==1', 'SteveCook==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'AsmirBegović==1', 'CharlieDaniels==1', 'SteveCook==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'NathanAké==1', 'CharlieDaniels==1', 'SteveCook==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'AsmirBegović==1', 'NathanAké==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'AsmirBegović==1', 'CharlieDaniels==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'AsmirBegović==1', 'SteveCook==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'NathanAké==1', 'CharlieDaniels==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'NathanAké==1', 'SteveCook==1']
(0.5491274457958752, '3-4-3', 0.3032258064516129, '5-3-2', -0.2459016393442623);['JoshuaKing==1', 'CharlieDaniels==1', 'SteveCook==1']
