Quality;Description
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1', 'FedericoFernández==1', 'ŁukaszFabiański==1']
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1', 'FedericoFernández==1', 'AlfieMawson==1']
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1', 'FedericoFernández==1']
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1', 'ŁukaszFabiański==1']
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1', 'AlfieMawson==1']
(0.8408454290807232, '3-5-2', 0.49019607843137253, '4-3-3', -0.35064935064935066);['SamClucas==1', 'TammyAbraham==1', 'KyleNaughton==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1', 'JonasLössl==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1', 'MathiasJattahNjieJørgensen==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1', 'ChristopherSchindler==1']
(0.8049052396878484, '5-3-2', 0.38461538461538464, '4-2-3-1', -0.42028985507246375);['AaronMooy==1', 'TerenceKongolo==1', 'JonathanHogg==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'ŁukaszFabiański==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1', 'AlfieMawson==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'ŁukaszFabiański==1', 'AlfieMawson==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'FedericoFernández==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'ŁukaszFabiański==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1', 'AlfieMawson==1']
(0.7997198879551821, '3-5-2', 0.49019607843137253, '4-3-3', -0.30952380952380953);['SamClucas==1', 'TammyAbraham==1']
