Quality;Description
(0.24423963133640553, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.3870967741935484);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1']
(0.24423963133640553, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.3870967741935484);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1']
(0.2378167641325536, '4-4-1-1', 0.05263157894736842, '4-2-3-1', -0.18518518518518517);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1']
(0.2378167641325536, '4-4-1-1', 0.05263157894736842, '4-2-3-1', -0.18518518518518517);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1']
(0.23552123552123555, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.3783783783783784);['EdenHazard==1', 'NGoloKanté==1', 'CésarAzpilicuetaTanco==1']
(0.23552123552123555, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.3783783783783784);['EdenHazard==1', 'NGoloKanté==1']
(0.2297029702970297, '4-4-1-1', 0.0297029702970297, '4-2-3-1', -0.2);['WesMorgan==1', 'JamieVardy==1', 'HarryMaguire==1']
(0.2297029702970297, '4-4-1-1', 0.0297029702970297, '4-2-3-1', -0.2);['WesMorgan==1', 'JamieVardy==1']
(0.2261904761904762, '4-4-1-1', 0.047619047619047616, '4-2-3-1', -0.17857142857142858);['WesMorgan==1', 'HarryMaguire==1']
(0.2261904761904762, '4-4-1-1', 0.047619047619047616, '4-2-3-1', -0.17857142857142858);['WesMorgan==1']
(0.22292103424178894, '4-4-1-1', 0.03773584905660377, '4-2-3-1', -0.18518518518518517);['JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1']
(0.22292103424178894, '4-4-1-1', 0.03773584905660377, '4-2-3-1', -0.18518518518518517);['JamieVardy==1', 'RiyadMahrez==1']
(0.21792929292929292, '4-3-3', -0.01818181818181818, '3-4-2-1', -0.2361111111111111);['GranitXhaka==1']
(0.21518275538894094, '4-4-1-1', 0.05154639175257732, '4-2-3-1', -0.16363636363636364);['WesMorgan==1', 'HarryMaguire==1', 'RiyadMahrez==1']
(0.21518275538894094, '4-4-1-1', 0.05154639175257732, '4-2-3-1', -0.16363636363636364);['WesMorgan==1', 'RiyadMahrez==1']
(0.2100840336134454, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.35294117647058826);['EdenHazard==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1']
(0.2100840336134454, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.35294117647058826);['EdenHazard==1', 'ThibautCourtois==1']
(0.20714285714285713, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.35);['EdenHazard==1', 'CésarAzpilicuetaTanco==1']
(0.20714285714285713, '3-5-1-1', -0.14285714285714285, '3-4-2-1', -0.35);['EdenHazard==1']
(0.20429782082324455, '4-4-1-1', 0.017857142857142856, '4-2-3-1', -0.1864406779661017);['JamieVardy==1', 'HarryMaguire==1']
(0.20429782082324455, '4-4-1-1', 0.017857142857142856, '4-2-3-1', -0.1864406779661017);['JamieVardy==1']
(0.1923076923076923, '4-4-1-1', 0.02564102564102564, '4-2-3-1', -0.16666666666666666);['HarryMaguire==1']
(0.19115929941618015, '4-4-1-1', 0.027522935779816515, '4-2-3-1', -0.16363636363636364);['HarryMaguire==1', 'RiyadMahrez==1']
(0.19115929941618015, '4-4-1-1', 0.027522935779816515, '4-2-3-1', -0.16363636363636364);['RiyadMahrez==1']
(0.17807514153371073, '4-4-1-1', 0.10344827586206896, '4-2-3-1', -0.07462686567164178);['JamalLascelles==1']
(0.16680161943319838, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.30526315789473685);['NGoloKanté==1', 'ThibautCourtois==1']
(0.15883575883575884, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.2972972972972973);['NGoloKanté==1']
(0.14039408866995073, '4-4-1-1', 0.07142857142857142, '4-2-3-1', -0.06896551724137931);['JamalLascelles==1', 'AyozePérezGutiérrez==1']
(0.1311392405063291, '4-2-3-1', -0.16, '3-4-2-1', -0.2911392405063291);['ShkodranMustafi==1']
(0.1282051282051282, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.16666666666666666);['NGoloKanté==1', 'ThibautCourtois==1', 'GaryCahill==1']
(0.1282051282051282, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.16666666666666666);['NGoloKanté==1', 'GaryCahill==1']
(0.1282051282051282, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.16666666666666666);['GaryCahill==1', 'ThibautCourtois==1']
(0.1282051282051282, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.16666666666666666);['GaryCahill==1']
(0.12590627763041556, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.26436781609195403);['NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1']
(0.12367438386855861, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.2621359223300971);['NGoloKanté==1', 'CésarAzpilicuetaTanco==1']
(0.11153846153846153, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.25);['ThibautCourtois==1']
(0.10021551724137931, '4-4-1-1', 0.06896551724137931, '4-2-3-1', -0.03125);['AyozePérezGutiérrez==1']
(0.08251289263947492, '3-5-1-1', -0.25925925925925924, '3-4-2-1', -0.34177215189873417);['NGoloKanté==1', 'ThibautCourtois==1', 'MarcosAlonsoMendoza==1']
(0.0758241758241758, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.21428571428571427);['CésarAzpilicuetaTanco==1']
(0.06987179487179487, '3-5-1-1', -0.13846153846153847, '3-4-2-1', -0.20833333333333334);['ThibautCourtois==1', 'CésarAzpilicuetaTanco==1']
(0.05988967691095354, '3-5-1-1', -0.25925925925925924, '3-4-2-1', -0.3191489361702128);['NGoloKanté==1', 'MarcosAlonsoMendoza==1']
(0.038461538461538464, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.07692307692307693);['NGoloKanté==1', 'ThibautCourtois==1', 'GaryCahill==1', 'CésarAzpilicuetaTanco==1']
(0.038461538461538464, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.07692307692307693);['NGoloKanté==1', 'GaryCahill==1', 'CésarAzpilicuetaTanco==1']
(0.038461538461538464, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.07692307692307693);['GaryCahill==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1']
(0.038461538461538464, '3-5-1-1', -0.038461538461538464, '3-4-2-1', -0.07692307692307693);['GaryCahill==1', 'CésarAzpilicuetaTanco==1']
(0.03820662768031188, '3-4-2-1', -0.22105263157894736, '3-5-1-1', -0.25925925925925924);['CésarAzpilicuetaTanco==1', 'MarcosAlonsoMendoza==1']
(0.03651538862806469, '3-5-1-1', -0.25925925925925924, '3-4-2-1', -0.29577464788732394);['NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'MarcosAlonsoMendoza==1']
(0.03425925925925924, '3-4-2-1', -0.225, '3-5-1-1', -0.25925925925925924);['ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'MarcosAlonsoMendoza==1']
(0.019810508182601216, '3-5-1-1', -0.25925925925925924, '3-4-2-1', -0.27906976744186046);['NGoloKanté==1', 'CésarAzpilicuetaTanco==1', 'MarcosAlonsoMendoza==1']
(0.01816911250873515, '4-4-1-1', 0.037037037037037035, '4-2-3-1', 0.018867924528301886);['DeAndreYedlin==1']
(0.013468013468013462, '3-5-1-1', -0.25925925925925924, '3-4-2-1', -0.2727272727272727);['ThibautCourtois==1', 'MarcosAlonsoMendoza==1']
(0.003651538862806461, '4-3-3', 0.07407407407407407, '4-2-3-1', 0.07042253521126761);['JordanPickford==1']
(0.002876663070837837, '3-5-1-1', -0.25925925925925924, '3-4-2-1', -0.2621359223300971);['MarcosAlonsoMendoza==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'TiemouéBakayoko==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'AntonioRüdiger==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'AndreasChristensen==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'ÁlvaroBorjaMorataMartín==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'MarcosAlonsoMendoza==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'FrancescFàbregasiSoler==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'GaryCahill==1']
(0, '-', 0, '-', 0);['EdenHazard==1', 'NGoloKanté==1', 'ThibautCourtois==1', 'CésarAzpilicuetaTanco==1', 'VictorMoses==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'VicenteIborraDeLaFuente==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'ChristianFuchs==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'MarcAlbrighton==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'AdrienSebastianPerruchetSilva==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'BenChilwell==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'DemaraiGray==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'DannySimpson==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'KasperSchmeichel==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'ShinjiOkazaki==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'KelechiPromiseIheanacho==1']
(0, '-', 0, '-', 0);['WesMorgan==1', 'JamieVardy==1', 'RiyadMahrez==1', 'HarryMaguire==1', 'OnyinyeWilfredNdidi==1']
