Quality;Description
(0, '-', 0, '-', 0);['DeclanRice==1', 'MarkNoble==1', 'PabloJavierZabaletaGirod==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'AaronCresswell==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'RobertoFirminoBarbosadeOliveira==1', 'MohamedSalahGhaly==1', 'AndrewRobertson==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'HéctorBellerínMoruno==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'PetrČech==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'IgnacioMonrealEraso==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'IgnacioMonrealEraso==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'IgnacioMonrealEraso==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'PetrČech==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'PetrČech==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'PetrČech==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'PetrČech==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'LaurentKoscielny==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'LaurentKoscielny==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'PetrČech==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'LaurentKoscielny==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'LaurentKoscielny==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'MesutÖzil==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'ChrisSmalling==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'DaviddeGeaQuintana==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'CallumWilson==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1', 'JoshuaKing==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'JoshuaKing==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'SimonFrancis==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'SimonFrancis==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'CallumWilson==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'CallumWilson==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'NathanAké==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'NathanAké==1', 'DanGosling==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'CheikhouKouyaté==1', 'MarkNoble==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'CheikhouKouyaté==1', 'PabloJavierZabaletaGirod==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'CheikhouKouyaté==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'MarkNoble==1', 'PabloJavierZabaletaGirod==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'MarkNoble==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'AaronCresswell==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'PabloJavierZabaletaGirod==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['DeclanRice==1', 'AaronCresswell==1', 'AngeloObinzeOgbonna==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'RobertoFirminoBarbosadeOliveira==1', 'MohamedSalahGhaly==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'RobertoFirminoBarbosadeOliveira==1', 'AndrewRobertson==1']
(0, '-', 0, '-', 0);['SadioMané==1', 'MohamedSalahGhaly==1', 'AndrewRobertson==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'HéctorBellerínMoruno==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'AlexIwobi==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'ShkodranMustafi==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'AaronRamsey==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'IgnacioMonrealEraso==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'AlexIwobi==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'HéctorBellerínMoruno==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'PetrČech==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'IgnacioMonrealEraso==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'LaurentKoscielny==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'AlexIwobi==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'PetrČech==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'MesutÖzil==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'LaurentKoscielny==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'AlexIwobi==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'MesutÖzil==1', 'SeadKolašinac==1']
(0, '-', 0, '-', 0);['GranitXhaka==1', 'SeadKolašinac==1', 'AlexandreLacazette==1']
(0, '-', 0, '-', 0);['TomDavies==1', 'JordanPickford==1', 'MichaelKeane==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'ChrisSmalling==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'PaulPogba==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'ChrisSmalling==1', 'DaviddeGeaQuintana==1']
(0, '-', 0, '-', 0);['VictorNilssonLindelöf==1', 'DaviddeGeaQuintana==1', 'NemanjaMatić==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SteveCook==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'CallumWilson==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'JoshuaKing==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CharlieDaniels==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'SimonFrancis==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'CallumWilson==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SteveCook==1', 'DanGosling==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SimonFrancis==1', 'CallumWilson==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SimonFrancis==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'SimonFrancis==1', 'AsmirBegović==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CallumWilson==1', 'NathanAké==1']
(0, '-', 0, '-', 0);['LewisCook==1', 'CallumWilson==1', 'AsmirBegović==1']
