Quality;Description
(0.8838095238095238, '4-2-3-1', 0.5238095238095238, '5-4-1', -0.36);['MayaYoshida==1', 'CédricRicardoAlvesSoares==1', 'OriolRomeuVidal==1']
(0.8829357798165137, '4-2-3-1', 0.5229357798165137, '5-4-1', -0.36);['MayaYoshida==1', 'CédricRicardoAlvesSoares==1']
(0.7724137931034483, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.6);['AllanRomeoNyom==1', 'JoséSalomónRondónGiménez==1', 'BenFoster==1', 'AhmedHegazy==1']
(0.7724137931034483, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.6);['AllanRomeoNyom==1', 'JoséSalomónRondónGiménez==1', 'BenFoster==1']
(0.7724137931034483, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.6);['AllanRomeoNyom==1', 'JoséSalomónRondónGiménez==1', 'AhmedHegazy==1']
(0.7724137931034483, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.6);['AllanRomeoNyom==1', 'JoséSalomónRondónGiménez==1']
(0.7557508400103385, '4-2-3-1', 0.3972602739726027, '5-4-1', -0.3584905660377358);['MayaYoshida==1', 'RyanBertrand==1']
(0.7528567632208344, '4-2-3-1', 0.39436619718309857, '5-4-1', -0.3584905660377358);['MayaYoshida==1', 'RyanBertrand==1', 'OriolRomeuVidal==1']
(0.7365079365079366, '4-2-3-1', 0.2698412698412698, '4-3-3', -0.4666666666666667);['TheoWalcott==1', 'WayneRooney==1', 'JordanPickford==1']
(0.7365079365079366, '4-2-3-1', 0.2698412698412698, '4-3-3', -0.4666666666666667);['TheoWalcott==1', 'WayneRooney==1']
(0.7298245614035088, '4-2-3-1', 0.2631578947368421, '4-3-3', -0.4666666666666667);['TheoWalcott==1', 'WayneRooney==1', 'JordanPickford==1', 'MichaelKeane==1']
(0.7298245614035088, '4-2-3-1', 0.2631578947368421, '4-3-3', -0.4666666666666667);['TheoWalcott==1', 'WayneRooney==1', 'MichaelKeane==1']
(0.7294654498044328, '4-2-3-1', 0.15254237288135594, '4-3-3', -0.5769230769230769);['TheoWalcott==1', 'CenkTosun==1', 'JordanPickford==1']
(0.7294654498044328, '4-2-3-1', 0.15254237288135594, '4-3-3', -0.5769230769230769);['TheoWalcott==1', 'CenkTosun==1']
(0.7208008898776418, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.5483870967741935);['AllanRomeoNyom==1', 'BenFoster==1', 'AhmedHegazy==1']
(0.7208008898776418, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.5483870967741935);['AllanRomeoNyom==1', 'BenFoster==1']
(0.7208008898776418, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.5483870967741935);['AllanRomeoNyom==1', 'AhmedHegazy==1']
(0.7208008898776418, '4-4-2', 0.1724137931034483, '4-4-1-1', -0.5483870967741935);['AllanRomeoNyom==1']
