Quality;Description
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'DeAndreYedlin==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9195318878708156, '4-4-2', 0.3698630136986301, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1']
(0.9157303370786517, '4-1-4-1', 0.5, '3-4-3', -0.4157303370786517);['ErikPieters==1', 'XherdanShaqiri==1', 'KurtHappyZouma==1', 'JackButland==1', 'JoeAllen==1']
(0.9157303370786517, '4-1-4-1', 0.5, '3-4-3', -0.4157303370786517);['ErikPieters==1', 'XherdanShaqiri==1', 'KurtHappyZouma==1', 'JackButland==1']
(0.9157303370786517, '4-1-4-1', 0.5, '3-4-3', -0.4157303370786517);['ErikPieters==1', 'XherdanShaqiri==1', 'KurtHappyZouma==1', 'JoeAllen==1']
(0.9157303370786517, '4-1-4-1', 0.5, '3-4-3', -0.4157303370786517);['ErikPieters==1', 'XherdanShaqiri==1', 'KurtHappyZouma==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JonjoShelvey==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JavierManquilloGaitán==1', 'JonjoShelvey==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1', 'JonjoShelvey==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JonjoShelvey==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1', 'DeAndreYedlin==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1', 'JavierManquilloGaitán==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JonjoShelvey==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1']
(0.9119877147518956, '4-4-2', 0.36231884057971014, '5-4-1', -0.5496688741721855);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1']
(0.9015896129110545, '4-4-2', 0.373134328358209, '5-4-1', -0.5284552845528455);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JoséLuisSanmartínMato==1']
(0.8935346496322105, '4-4-2', 0.36507936507936506, '5-4-1', -0.5284552845528455);['MohamedDiamé==1', 'JonjoShelvey==1', 'DeAndreYedlin==1', 'JoséLuisSanmartínMato==1']
(0.8909914712153519, '4-4-2', 0.373134328358209, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JoséLuisSanmartínMato==1']
(0.8909914712153519, '4-4-2', 0.373134328358209, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JavierManquilloGaitán==1', 'JoséLuisSanmartínMato==1']
(0.8909914712153519, '4-4-2', 0.373134328358209, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1', 'JoséLuisSanmartínMato==1']
(0.8909914712153519, '4-4-2', 0.373134328358209, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JoséLuisSanmartínMato==1']
(0.8833765272121437, '4-4-2', 0.3698630136986301, '5-4-1', -0.5135135135135135);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1']
(0.8829365079365079, '4-4-2', 0.36507936507936506, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JacobMurphy==1', 'RobElliot==1', 'JonjoShelvey==1', 'JoséLuisSanmartínMato==1']
(0.8829365079365079, '4-4-2', 0.36507936507936506, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1', 'DeAndreYedlin==1', 'JoséLuisSanmartínMato==1']
(0.8829365079365079, '4-4-2', 0.36507936507936506, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1', 'JavierManquilloGaitán==1', 'JoséLuisSanmartínMato==1']
(0.8829365079365079, '4-4-2', 0.36507936507936506, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JonjoShelvey==1', 'DeAndreYedlin==1', 'JavierManquilloGaitán==1', 'JoséLuisSanmartínMato==1']
(0.8829365079365079, '4-4-2', 0.36507936507936506, '5-4-1', -0.5178571428571429);['MohamedDiamé==1', 'JonjoShelvey==1', 'RobElliot==1', 'JoséLuisSanmartínMato==1']
(0.8758323540932236, '4-4-2', 0.36231884057971014, '5-4-1', -0.5135135135135135);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JonjoShelvey==1']
(0.8758323540932236, '4-4-2', 0.36231884057971014, '5-4-1', -0.5135135135135135);['MohamedDiamé==1', 'JonjoShelvey==1', 'DeAndreYedlin==1']
(0.873015873015873, '4-2-3-1', 0.3333333333333333, '5-4-1', -0.5396825396825397);['ChancelMbembaMangulu==1', 'JacobMurphy==1', 'DeAndreYedlin==1']
(0.8511904761904763, '4-2-3-1', 0.3333333333333333, '5-4-1', -0.5178571428571429);['ChancelMbembaMangulu==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'JoséLuisSanmartínMato==1']
(0.8489503328213006, '4-4-2', 0.36507936507936506, '5-4-1', -0.4838709677419355);['MohamedDiamé==1', 'JacobMurphy==1', 'DeAndreYedlin==1', 'DwightGayle==1']
